train/loss,train/mean_error,train/mean_mse,train/mean_rmse,train/mean_variance,train/mean_std,train/mean_mae,epoch,step,test/loss,test/mean_error,test/mean_mse,test/mean_rmse,test/mean_variance,test/mean_std,test/mean_mae
5.5026936531066895,3.0661063194274902,11.005387306213379,3.317436933517456,1.6043789386749268,1.2666407823562622,1.9683074951171875,0,0,,,,,,,
4.682819366455078,2.803365707397461,9.365638732910156,3.060333013534546,1.5067788362503052,1.2275091409683228,1.7932629585266113,1,1,,,,,,,
4.057852268218994,2.593250036239624,8.115704536437988,2.8488075733184814,1.3907588720321655,1.1793043613433838,1.6520859003067017,2,2,,,,,,,
3.5477139949798584,2.4155895709991455,7.095427989959717,2.663724422454834,1.260356068611145,1.1226558685302734,1.5362474918365479,3,3,,,,,,,
3.1221933364868164,2.2632744312286377,6.244386672973633,2.4988770484924316,1.1219745874404907,1.0592330694198608,1.4416474103927612,4,4,,,,,,,
2.775238037109375,2.1369223594665527,5.550476551055908,2.355944871902466,0.9840385913848877,0.9919871687889099,1.3704652786254883,5,5,,,,,,,
2.5003795623779297,2.0343544483184814,5.000759601593018,2.2362377643585205,0.8621606230735779,0.9285260438919067,1.3072352409362793,6,6,,,,,,,
2.283472776412964,1.9516326189041138,4.566945552825928,2.1370413303375244,0.7580759525299072,0.8706755638122559,1.2530760765075684,7,7,,,,,,,
2.1119654178619385,1.8867131471633911,4.223930358886719,2.055220365524292,0.664243757724762,0.8150115013122559,1.2196539640426636,8,8,,,,,,,
1.9804502725601196,1.8363783359527588,3.9609010219573975,1.9902012348175049,0.5886145830154419,0.7672122120857239,1.19414484500885,9,9,,,,,,,
1.8779805898666382,1.7965344190597534,3.7559611797332764,1.9380302429199219,0.528424859046936,0.7269283533096313,1.1696741580963135,10,10,,,,,,,
1.799237608909607,1.7653831243515015,3.598475217819214,1.8969647884368896,0.48189809918403625,0.6941888332366943,1.1467933654785156,11,11,,,,,,,
1.7427235841751099,1.7432763576507568,3.485447645187378,1.8669353723526,0.44643548130989075,0.6681582927703857,1.1364467144012451,12,12,,,,,,,
1.7044856548309326,1.7285540103912354,3.4089717864990234,1.8463400602340698,0.4210725724697113,0.6489010453224182,1.1266751289367676,13,13,,,,,,,
1.6821070909500122,1.7196191549301147,3.3642141819000244,1.834179401397705,0.4071238040924072,0.6380625367164612,1.123366355895996,14,14,,,,,,,
1.673064112663269,1.7157127857208252,3.346128225326538,1.8292425870895386,0.4024578034877777,0.6343955993652344,1.1201704740524292,15,15,,,,,,,
1.6737546920776367,1.7159981727600098,3.3475093841552734,1.8296200037002563,0.4028594195842743,0.6347121000289917,1.1189911365509033,16,16,,,,,,,
1.6810870170593262,1.7191195487976074,3.3621740341186523,1.8336231708526611,0.4068024456501007,0.6378106474876404,1.124516248703003,17,17,,,,,,,
1.6916860342025757,1.7234344482421875,3.383371591567993,1.8393943309783936,0.41314569115638733,0.6427640914916992,1.1287964582443237,18,18,,,,,,,
1.7018272876739502,1.7273355722427368,3.4036545753479004,1.8448996543884277,0.41996634006500244,0.6480481028556824,1.1315722465515137,19,19,,,,,,,
1.7091642618179321,1.730090856552124,3.4183285236358643,1.848872184753418,0.42511460185050964,0.6520081162452698,1.1329365968704224,20,20,,,,,,,
1.7102084159851074,1.7302579879760742,3.420416831970215,1.84943687915802,0.42662402987480164,0.6531646251678467,1.1323962211608887,21,21,,,,,,,
1.705986499786377,1.728338360786438,3.411972999572754,1.8471527099609375,0.4248200058937073,0.6517821550369263,1.130504846572876,22,22,,,,,,,
1.6976244449615479,1.7248210906982422,3.395249366760254,1.8426202535629272,0.42024123668670654,0.6482601761817932,1.1275676488876343,23,23,,,,,,,
1.6859370470046997,1.720053791999817,3.3718740940093994,1.8362663984298706,0.41328945755958557,0.6428759098052979,1.123630166053772,24,24,,,,,,,
1.6744505167007446,1.715417504310608,3.3489015102386475,1.830000400543213,0.40624362230300903,0.6373724341392517,1.1190860271453857,25,25,,,,,,,
1.664526104927063,1.711107850074768,3.329052686691284,1.8245692253112793,0.40116241574287415,0.6333738565444946,1.1160143613815308,26,26,,,,,,,
1.6582238674163818,1.7081539630889893,3.3164477348327637,1.8211116790771484,0.39865797758102417,0.6313936710357666,1.1138712167739868,27,27,,,,,,,
1.6559233665466309,1.70695161819458,3.3118467330932617,1.8198479413986206,0.3981626629829407,0.6310012936592102,1.1111371517181396,28,28,,,,,,,
1.6570830345153809,1.7074331045150757,3.3141660690307617,1.8204851150512695,0.39883843064308167,0.6315365433692932,1.1140156984329224,29,29,,,,,,,
1.6595995426177979,1.7084460258483887,3.3191988468170166,1.8218668699264526,0.40041154623031616,0.6327807903289795,1.1162545680999756,30,30,,,,,,,
1.6609283685684204,1.7088755369186401,3.321857213973999,1.8225963115692139,0.4016019105911255,0.6337206959724426,1.1168283224105835,31,31,,,,,,,
1.6600420475006104,1.7083659172058105,3.3200838565826416,1.8221096992492676,0.40157046914100647,0.6336959004402161,1.1158920526504517,32,32,,,,,,,
1.6571580171585083,1.7070211172103882,3.3143155574798584,1.820526123046875,0.40039461851119995,0.6327674388885498,1.1137441396713257,33,33,,,,,,,
1.6534196138381958,1.7053166627883911,3.3068387508392334,1.8184715509414673,0.3987341821193695,0.6314540505409241,1.1111605167388916,34,34,,,,,,,
1.649684190750122,1.703576683998108,3.299368381500244,1.8164163827896118,0.39719459414482117,0.6302337646484375,1.1103743314743042,35,35,,,,,,,
1.6464561223983765,1.702001690864563,3.292912244796753,1.814638376235962,0.39610278606414795,0.6293669939041138,1.1091468334197998,36,36,,,,,,,
1.644166350364685,1.7008248567581177,3.28833270072937,1.8133760690689087,0.3955274522304535,0.628909707069397,1.1073036193847656,37,37,,,,,,,
1.6430531740188599,1.7002335786819458,3.2861063480377197,1.8127620220184326,0.39531195163726807,0.6287384033203125,1.106286644935608,38,38,,,,,,,
1.6421229839324951,1.699749231338501,3.2842459678649902,1.8122488260269165,0.3950977325439453,0.6285679936408997,1.1071641445159912,39,39,,,,,,,
1.6413220167160034,1.6993253231048584,3.282644033432007,1.8118067979812622,0.3949373960494995,0.6284404397010803,1.107238531112671,40,40,,,,,,,
1.6403096914291382,1.698777198791504,3.2806193828582764,1.8112480640411377,0.39477527141571045,0.6283114552497864,1.1065326929092407,41,41,,,,,,,
1.6388731002807617,1.6980036497116089,3.2777462005615234,1.8104547262191772,0.39452990889549255,0.6281161308288574,1.105733871459961,42,42,,,,,,,
1.6369314193725586,1.696967363357544,3.273862600326538,1.8093818426132202,0.3941645920276642,0.6278252601623535,1.1055874824523926,43,43,,,,,,,
1.6345770359039307,1.69571053981781,3.2691545486450195,1.8080803155899048,0.3937201201915741,0.6274712085723877,1.105059027671814,44,44,,,,,,,
1.6319541931152344,1.694300651550293,3.2639083862304688,1.8066290616989136,0.3932531177997589,0.6270989775657654,1.1038165092468262,45,45,,,,,,,
1.6293386220932007,1.6928883790969849,3.2586772441864014,1.8051806688308716,0.3928056061267853,0.6267420649528503,1.101988434791565,46,46,,,,,,,
1.6269071102142334,1.6915968656539917,3.253814220428467,1.803833246231079,0.3923148512840271,0.6263504028320312,1.1003485918045044,47,47,,,,,,,
1.6246908903121948,1.6904523372650146,3.2493817806243896,1.8026041984558105,0.39175230264663696,0.6259011626243591,1.1000298261642456,48,48,,,,,,,
1.6225866079330444,1.6893717050552368,3.245173215866089,1.801436424255371,0.391196608543396,0.6254571080207825,1.099478840827942,49,49,,,,,,,
1.620398998260498,1.688232183456421,3.240797996520996,1.8002216815948486,0.39066994190216064,0.6250359416007996,1.0985817909240723,50,50,,,,,,,
1.6179192066192627,1.6869267225265503,3.2358384132385254,1.7988436222076416,0.39011627435684204,0.6245929002761841,1.0976699590682983,51,51,,,,,,,
1.61501944065094,1.6853926181793213,3.230039358139038,1.7972310781478882,0.3894912004470825,0.6240922808647156,1.09665846824646,52,52,,,,,,,
1.6117031574249268,1.683624505996704,3.2234063148498535,1.7953847646713257,0.38881513476371765,0.6235504150390625,1.0953987836837769,53,53,,,,,,,
1.6080787181854248,1.6816633939743042,3.2161571979522705,1.7933647632598877,0.3881656229496002,0.6230294108390808,1.0935537815093994,54,54,,,,,,,
1.6042629480361938,1.6795562505722046,3.2085258960723877,1.7912358045578003,0.3876167833805084,0.6225887537002563,1.0917900800704956,55,55,,,,,,,
1.6003271341323853,1.6773418188095093,3.2006537914276123,1.7890371084213257,0.3871784806251526,0.6222366690635681,1.0904208421707153,56,56,,,,,,,
