x,y,wifi_rssi1,wifi_rssi2,wifi_rssi3,wifi_rssi4,wifi_rssi5,wifi_rssi6,wifi_rssi7,wifi_rssi8,ble_rssi1,ble_rssi2,ble_rssi3,ble_rssi4,ble_rssi5,ble_rssi6,ble_rssi7,ble_rssi8
3.0,16.5,-67.29313782,-66.82441267,-68.16765887,-58.99264302,-100.0,-66.03759247,-71.13173047,-67.16644688,-74.79730865,-68.778849,-64.71074862,-55.68104043,-70.68003492,-62.59292356,-72.55736902,-67.19572706
3.0,15.0,-66.7056722,-72.56451368,-66.07594414,-53.2229408,-81.46707177,-62.05077667,-70.65421459,-66.95215629,-65.5526652,-69.65584957,-65.97968366,-49.14291705,-76.45326882,-63.36049523,-71.01643321,-68.52937043
3.0,13.5,-66.89411648,-75.65803679,-71.50770896,-55.24006954,-77.9943149,-58.73964096,-71.55392631,-64.48430683,-67.07284544,-73.50447589,-69.96965649,-57.13034002,-73.77188456,-61.72843904,-69.45047074,-66.3632359
3.0,12.0,-68.94165637,-71.38811604,-71.42241424,-56.58400186,-69.69724761,-62.8185283,-64.93411266,-65.53300757,-68.18511063,-68.18455602,-71.51104632,-56.90919597,-70.31622149,-59.66314474,-63.99939943,-67.68236469
3.0,10.5,-66.21290652,-68.22750079,-75.74304856,-57.95328544,-67.65838972,-55.22832716,-60.43660439,-97.86676236,-69.77315796,-67.81720684,-75.9538865,-57.37052742,-70.71636292,-61.99853436,-63.05329471,-73.93726931
3.0,9.0,-67.54154435,-62.85732056,-74.93502108,-61.40818923,-65.72438163,-58.28740552,-61.72660425,-74.94894944,-73.78066599,-62.85195666,-74.87491289,-58.30088256,-65.48619356,-57.94468714,-65.56310247,-74.45925028
3.0,7.5,-74.49594736,-63.3237486,-78.94748041,-66.8835625,-65.75854547,-62.35209023,-61.46492906,-74.69084801,-74.26716308,-62.97310892,-70.24553105,-61.03768706,-65.01110677,-56.08533525,-65.75430811,-63.46478393
3.0,6.0,-74.12163228,-65.83095971,-66.44552194,-65.6912472,-66.15220185,-56.61824409,-63.38265743,-65.36059414,-73.84079117,-65.46516301,-68.0300365,-56.90807037,-65.92680884,-53.82651701,-64.91712352,-62.91193973
3.0,4.5,-68.12572564,-69.17387776,-76.26930327,-58.77951084,-79.12841519,-53.58428497,-62.59166741,-69.10300756,-75.27855477,-69.56099665,-76.43262148,-67.45656131,-75.59814353,-58.12431373,-59.51283893,-63.94854421
3.0,3.0,-77.90155061,-70.74677684,-80.70966274,-69.14493618,-69.07621008,-48.88073609,-65.50130873,-68.66151441,-69.24319243,-67.49052299,-77.34607789,-64.52702027,-66.82920382,-49.47927239,-63.19034994,-72.5323369
