val/loss,val/mean_error,val/mean_error_best,epoch,step,train/loss,train/mean_error
0.19094955921173096,197.2176971435547,197.2176971435547,0,0,,
,,,0,0,0.394734263420105,286.46539306640625
0.08865445107221603,133.59149169921875,133.59149169921875,1,1,,
,,,1,1,0.20310042798519135,206.9159698486328
0.05042464658617973,99.5374526977539,99.5374526977539,2,2,,
,,,2,2,0.09695610404014587,142.9251251220703
0.04794979467988014,96.11656951904297,96.11656951904297,3,3,,
,,,3,3,0.05458473414182663,105.57548522949219
0.04781568422913551,96.39997863769531,96.11656951904297,4,4,,
,,,4,4,0.048809781670570374,97.15516662597656
0.03834284096956253,85.79706573486328,85.79706573486328,5,5,,
,,,5,5,0.0470418743789196,95.21308135986328
