error
7.8410525
8.291984
8.945755
10.03407
9.125309
5.3480124
5.051677
5.139589
5.9114056
7.540389
5.3455453
4.1702733
6.000954
3.6175053
7.7798657
3.8109035
7.1530046
5.727505
4.8051906
3.501519
7.5162187
5.456663
1.0211146
1.9233006
7.374952
3.8891027
0.5027218
3.981379
7.203014
4.1412516
5.5038805
5.700514
4.032599
5.5126567
7.524021
6.8601136
6.629791
6.755668
7.274963
7.1135406
8.117194
9.901502
9.494769
10.709435
9.918446
