x_true,y_true,x_est,y_est,Error_m
0.0,1.0,0.3628212572393439,3.637805683975227,2.6626411870766127
0.75,2.25,2.1650152308105106,1.229209626273642,1.7447868324004856
1.0,1.75,0.40411729015105086,1.3650709371102892,0.7093987506008718
1.25,0.75,1.3999484034042975,3.0988287849167713,2.3536102448232787
1.25,4.0,1.4345781054150815,2.723402855071088,1.289871833725844
1.75,2.5,2.435238680972334,2.367764480803639,0.697881281048457
2.0,0.0,1.659518721955868,0.06485885558994084,0.3466037677911224
2.25,1.25,5.0,0.0,3.020761493398643
2.5,2.0,3.9098600841087765,4.256790314185411,2.6609787633433477
2.75,0.5,1.5583381267171663,2.280403654350876,2.1424040684851926
3.0,2.75,4.527248128582824,5.0,2.719372509653603
3.25,1.0,5.0,0.8759346192284851,1.7543922647760337
3.25,3.75,3.0056151911080087,2.3421312737269755,1.4289220710853352
3.75,0.25,3.385800290518018,2.5610005589220544,2.3395223896609343
4.25,1.25,3.847557496066041,2.0423809357663076,0.8887224067944524
4.75,2.25,2.6406558192577303,2.5427667441455446,2.129564565658637
