val/loss,val/mean_error,val/mean_mse,val/mean_rmse,val/mean_variance,val/mean_std,val/mean_error_best,epoch,step,train/loss,train/mean_error,train/mean_mse,train/mean_rmse,train/mean_variance,train/mean_std,test/loss,test/mean_error,test/mean_mse,test/mean_rmse,test/mean_variance,test/mean_std
4.914905548095703,2.8512163162231445,9.82981014251709,3.1352527141571045,1.7003768682479858,1.3039849996566772,2.8512163162231445,0,0,,,,,,,,,,,,
,,,,,,,0,0,4.31317663192749,2.6937084197998047,8.626354217529297,2.937065601348877,1.3702889680862427,1.1705933809280396,,,,,,
4.526263236999512,2.745845317840576,9.052525520324707,3.008741617202759,1.51285982131958,1.2299836874008179,2.745845317840576,1,1,,,,,,,,,,,,
,,,,,,,1,1,3.79262638092041,2.510432243347168,7.58525276184082,2.754133701324463,1.2829828262329102,1.132688283920288,,,,,,
4.195976257324219,2.654153347015381,8.391953468322754,2.8968868255615234,1.3474229574203491,1.160785436630249,2.654153347015381,2,2,,,,,,,,,,,,
,,,,,,,2,2,3.404160261154175,2.3688912391662598,6.808320045471191,2.6092758178710938,1.1966731548309326,1.0939255952835083,,,,,,
3.883483409881592,2.56564998626709,7.766966819763184,2.7869279384613037,1.1844066381454468,1.0883045196533203,2.56564998626709,3,3,,,,,,,,,,,,
,,,,,,,3,3,3.073779821395874,2.246324300765991,6.147560119628906,2.4794273376464844,1.1015872955322266,1.049565315246582,,,,,,
3.621009349822998,2.490008592605591,7.24201774597168,2.6910996437072754,1.041874885559082,1.02072274684906,2.490008592605591,4,4,,,,,,,,,,,,
,,,,,,,4,4,2.7608137130737305,2.129775285720825,5.521627426147461,2.3498144149780273,0.9856846332550049,0.9928165078163147,,,,,,
3.4030826091766357,2.4258432388305664,6.806164264678955,2.6088626384735107,0.921449601650238,0.959921658039093,2.4258432388305664,5,5,,,,,,,,,,,,
,,,,,,,5,5,2.498183488845825,2.0294947624206543,4.996367454528809,2.235255479812622,0.8775182366371155,0.9367594122886658,,,,,,
3.2274694442749023,2.372889518737793,6.454938888549805,2.5406572818756104,0.8243352174758911,0.9079290628433228,2.372889518737793,6,6,,,,,,,,,,,,
,,,,,,,6,6,2.280906915664673,1.9447898864746094,4.5618133544921875,2.1358401775360107,0.7796056270599365,0.8829528093338013,,,,,,
3.0824170112609863,2.3275632858276367,6.164834976196289,2.4829084873199463,0.747282862663269,0.8644552230834961,2.3275632858276367,7,7,,,,,,,,,,,,
,,,,,,,7,7,2.1050140857696533,1.8756495714187622,4.210028171539307,2.051835298538208,0.6919666528701782,0.8318453431129456,,,,,,
2.962691068649292,2.2882463932037354,5.925382137298584,2.434210777282715,0.6893103122711182,0.830247163772583,2.2882463932037354,8,8,,,,,,,,,,,,
,,,,,,,8,8,1.9594480991363525,1.8193402290344238,3.918895721435547,1.979620099067688,0.6088972687721252,0.7803186774253845,,,,,,
2.8675389289855957,2.254711151123047,5.735077381134033,2.3948020935058594,0.6513556838035583,0.8070660829544067,2.254711151123047,9,9,,,,,,,,,,,,
,,,,,,,9,9,1.8393219709396362,1.7722604274749756,3.6786439418792725,1.917979121208191,0.5377365350723267,0.7333052158355713,,,,,,
2.7937517166137695,2.2261555194854736,5.587502956390381,2.3637900352478027,0.6317332983016968,0.7948164939880371,2.2261555194854736,10,10,,,,,,,,,,,,
,,,,,,,10,10,1.7437208890914917,1.7346946001052856,3.4874417781829834,1.867469310760498,0.47827666997909546,0.6915755271911621,,,,,,
2.739431858062744,2.2020962238311768,5.478863716125488,2.3406972885131836,0.6296355128288269,0.793495774269104,2.2020962238311768,11,11,,,,,,,,,,,,
,,,,,,,11,11,1.6693201065063477,1.7056795358657837,3.3386402130126953,1.8271945714950562,0.4292975664138794,0.6552080512046814,,,,,,
2.7019193172454834,2.1820077896118164,5.403838634490967,2.324615716934204,0.6426807641983032,0.8016737103462219,2.1820077896118164,12,12,,,,,,,,,,,,
,,,,,,,12,12,1.614601731300354,1.684720516204834,3.229203939437866,1.7969986200332642,0.390920490026474,0.6252363324165344,,,,,,
2.680056571960449,2.1663477420806885,5.360113143920898,2.3151917457580566,0.6670517325401306,0.8167323470115662,2.1663477420806885,13,13,,,,,,,,,,,,
,,,,,,,13,13,1.5769163370132446,1.6707143783569336,3.1538329124450684,1.7759034633636475,0.36254632472991943,0.602118194103241,,,,,,
2.671494245529175,2.1568639278411865,5.34298849105835,2.311490535736084,0.690925121307373,0.8312190771102905,2.1568639278411865,14,14,,,,,,,,,,,,
,,,,,,,14,14,1.5548688173294067,1.662696361541748,3.1097376346588135,1.7634447813034058,0.34517812728881836,0.5875186324119568,,,,,,
2.6730477809906006,2.159001350402832,5.346096038818359,2.3121626377105713,0.6848090291023254,0.8275318741798401,2.1568639278411865,15,15,,,,,,,,,,,,
,,,,,,,15,15,1.5460481643676758,1.6595208644866943,3.0920965671539307,1.758435845375061,0.3380869925022125,0.581452488899231,,,,,,
2.6806726455688477,2.1671910285949707,5.361345291137695,2.315457820892334,0.6646287441253662,0.815247654914856,2.1568639278411865,16,16,,,,,,,,,,,,
,,,,,,,16,16,1.5475285053253174,1.6600565910339355,3.095057249069214,1.7592774629592896,0.33926934003829956,0.5824683308601379,,,,,,
2.6915979385375977,2.175579786300659,5.383195877075195,2.320171594619751,0.6500477194786072,0.8062553405761719,2.1568639278411865,17,17,,,,,,,,,,,,
,,,,,,,17,17,1.5554463863372803,1.6628848314285278,3.1108927726745605,1.7637723684310913,0.3457071781158447,0.5879687070846558,,,,,,
2.7021584510803223,2.182382822036743,5.4043169021606445,2.324718713760376,0.6415226459503174,0.8009510636329651,2.1568639278411865,18,18,,,,,,,,,,,,
,,,,,,,18,18,1.5665181875228882,1.666969656944275,3.1330366134643555,1.7700386047363281,0.354248970746994,0.5951882004737854,,,,,,
2.708547830581665,2.1862452030181885,5.417096138000488,2.327465534210205,0.6374289393424988,0.7983914613723755,2.1568639278411865,19,19,,,,,,,,,,,,
