val/loss,val/mean_error,val/mean_mse,val/mean_rmse,val/mean_variance,val/mean_std,val/mean_mae,val/mean_error_best,epoch,step,train/loss,train/mean_error,train/mean_mse,train/mean_rmse,train/mean_variance,train/mean_std,train/mean_mae,test/loss,test/mean_error,test/mean_mse,test/mean_rmse,test/mean_variance,test/mean_std,test/mean_mae
5.953150272369385,3.1618940830230713,5.953150272369385,5.953150272369385,5.953150272369385,5.953150272369385,5.953150272369385,3.1618940830230713,0,0,,,,,,,,,,,,,,
,,,,,,,,0,0,5.02850341796875,2.929307222366333,10.0570068359375,3.171278476715088,1.4761672019958496,1.214976191520691,1.8786091804504395,,,,,,,
5.1243062019348145,2.9169371128082275,5.1243062019348145,5.1243062019348145,5.1243062019348145,5.1243062019348145,5.1243062019348145,2.9169371128082275,1,1,,,,,,,,,,,,,,
,,,,,,,,1,1,4.163473129272461,2.6396305561065674,8.326946258544922,2.8856449127197266,1.35929536819458,1.1658881902694702,1.6858654022216797,,,,,,,
4.393164157867432,2.717609405517578,4.393164157867432,4.393164157867432,4.393164157867432,4.393164157867432,4.393164157867432,2.717609405517578,2,2,,,,,,,,,,,,,,
,,,,,,,,2,2,3.4992599487304688,2.405325174331665,6.9985198974609375,2.6454715728759766,1.2129307985305786,1.101331353187561,1.5354551076889038,,,,,,,
3.788709878921509,2.5454306602478027,3.788709878921509,3.788709878921509,3.788709878921509,3.788709878921509,3.788709878921509,2.5454306602478027,3,3,,,,,,,,,,,,,,
,,,,,,,,3,3,2.9340224266052246,2.195678949356079,5.868045330047607,2.4224047660827637,1.047039270401001,1.0232493877410889,1.4042110443115234,,,,,,,
3.3016393184661865,2.3977677822113037,3.3016393184661865,3.3016393184661865,3.3016393184661865,3.3016393184661865,3.3016393184661865,2.3977677822113037,4,4,,,,,,,,,,,,,,
,,,,,,,,4,4,2.48829984664917,2.0244131088256836,4.976598739624023,2.2308292388916016,0.8783512115478516,0.9372039437294006,1.2887271642684937,,,,,,,
2.940520763397217,2.2820253372192383,2.940520763397217,2.940520763397217,2.940520763397217,2.940520763397217,2.940520763397217,2.2820253372192383,5,5,,,,,,,,,,,,,,
,,,,,,,,5,5,2.1516008377075195,1.894551157951355,4.303201675415039,2.074415922164917,0.7138770222663879,0.8449124097824097,1.2195621728897095,,,,,,,
2.6720283031463623,2.191154956817627,2.6720283031463623,2.6720283031463623,2.6720283031463623,2.6720283031463623,2.6720283031463623,2.191154956817627,6,6,,,,,,,,,,,,,,
,,,,,,,,6,6,1.9224395751953125,1.8037457466125488,3.844879627227783,1.960836410522461,0.5913804769515991,0.7690126895904541,1.1607184410095215,,,,,,,
2.4716219902038574,2.11903977394104,2.4716219902038574,2.4716219902038574,2.4716219902038574,2.4716219902038574,2.4716219902038574,2.11903977394104,7,7,,,,,,,,,,,,,,
,,,,,,,,7,7,1.7718710899353027,1.7437242269515991,3.5437421798706055,1.8824830055236816,0.5031682848930359,0.7093435525894165,1.1215264797210693,,,,,,,
2.3244054317474365,2.062181234359741,2.3244054317474365,2.3244054317474365,2.3244054317474365,2.3244054317474365,2.3244054317474365,2.062181234359741,8,8,,,,,,,,,,,,,,
,,,,,,,,8,8,1.678508996963501,1.7073649168014526,3.3570175170898438,1.832216501235962,0.4419228136539459,0.6647727489471436,1.10948646068573,,,,,,,
