0.35355,0.02
0.55902,0.04
0.55902,0.06
0.75,0.08
0.79057,0.1
0.79057,0.12
0.79057,0.14
0.79057,0.16
1.0308,0.18
1.0308,0.2
1.0308,0.22
1.3463,0.24
1.3463,0.26
1.4577,0.28
1.4577,0.3
1.5207,0.32
1.6771,0.34
1.7678,0.36
1.7678,0.38
1.9039,0.4
2.0156,0.42
2.0616,0.44
2.2638,0.46
2.3049,0.48
2.3585,0.5
2.3717,0.52
2.3717,0.54
2.5125,0.56
2.5495,0.58
2.7042,0.6
2.8504,0.62
3.0104,0.64
3.1325,0.66
3.75,0.68
3.75,0.7
4.1608,0.72
4.1908,0.74
4.2573,0.76
4.5962,0.78
5.1296,0.8
5.1539,0.82
5.534,0.84
5.7987,0.86
5.8363,0.88
5.9634,0.9
6.3738,0.92
6.5622,0.94
6.6049,0.96
11.535,0.98
12.189,1
