0.35355,0.02
0.55902,0.04
0.75,0.06
0.90139,0.08
0.90139,0.1
0.90139,0.12
1.0308,0.14
1.0607,0.16
1.0607,0.18
1.0607,0.2
1.4577,0.22
1.4577,0.24
1.5207,0.26
1.6771,0.28
1.6771,0.3
1.75,0.32
1.7678,0.34
2.0156,0.36
2.0156,0.38
2.0156,0.4
2.0616,0.42
2.1506,0.44
2.2638,0.46
2.5125,0.48
2.5495,0.5
2.6575,0.52
2.6575,0.54
2.8504,0.56
2.8504,0.58
3.0208,0.6
3.25,0.62
3.25,0.64
3.3354,0.66
3.4004,0.68
3.4821,0.7
3.5532,0.72
3.5795,0.74
3.7583,0.76
4.0078,0.78
4.2573,0.8
4.2573,0.82
5.2559,0.84
5.5057,0.86
6.5622,0.88
6.8784,0.9
7.0045,0.92
7.1981,0.94
7.7015,0.96
7.9451,0.98
14.45,1
