0.35355,0.02
0.35355,0.04
0.35355,0.06
0.35355,0.08
0.35355,0.1
0.55902,0.12
0.55902,0.14
0.55902,0.16
0.55902,0.18
0.75,0.2
0.90139,0.22
0.90139,0.24
1.0308,0.26
1.0308,0.28
1.0607,0.3
1.25,0.32
1.2748,0.34
1.2748,0.36
1.3463,0.38
1.4577,0.4
1.4577,0.42
1.6008,0.44
1.6008,0.46
1.7678,0.48
1.7678,0.5
1.7678,0.52
1.7678,0.54
1.9039,0.56
2.0156,0.58
2.0156,0.6
2.0156,0.62
2.0616,0.64
2.2361,0.66
2.25,0.68
2.3049,0.7
2.5125,0.72
2.7951,0.74
3.0104,0.76
3.0104,0.78
3.5795,0.8
3.5795,0.82
3.6912,0.84
3.6912,0.86
3.7583,0.88
3.9528,0.9
4.3661,0.92
4.4511,0.94
5.2559,0.96
5.6181,0.98
5.8149,1
