0.25,0.02
0.35355,0.04
0.35355,0.06
0.35355,0.08
0.35355,0.1
0.55902,0.12
0.55902,0.14
0.55902,0.16
0.75,0.18
0.79057,0.2
1.0308,0.22
1.0308,0.24
1.0308,0.26
1.0607,0.28
1.25,0.3
1.2748,0.32
1.2748,0.34
1.6008,0.36
1.7678,0.38
1.7678,0.4
1.9039,0.42
2.0156,0.44
2.2361,0.46
2.25,0.48
2.25,0.5
2.3585,0.52
2.3717,0.54
2.3717,0.56
2.3717,0.58
2.5125,0.6
2.8504,0.62
3.0104,0.64
3.0104,0.66
3.25,0.68
3.2596,0.7
3.2882,0.72
3.3354,0.74
3.5355,0.76
3.7832,0.78
3.9131,0.8
4.3157,0.82
4.6503,0.84
4.6704,0.86
4.7762,0.88
4.8541,0.9
4.9812,0.92
5.5509,0.94
5.7717,0.96
6.25,0.98
6.8283,1
