0.35355,0.02
0.55902,0.04
0.90139,0.06
0.90139,0.08
1.0308,0.1
1.0607,0.12
1.0607,0.14
1.2748,0.16
1.4577,0.18
1.4577,0.2
1.5,0.22
1.6008,0.24
1.75,0.26
1.7678,0.28
1.82,0.3
1.9039,0.32
2.0156,0.34
2.136,0.36
2.3049,0.38
2.4749,0.4
2.5125,0.42
2.5125,0.44
2.5739,0.46
2.7613,0.48
2.8504,0.5
3.0208,0.52
3.0208,0.54
3.25,0.56
3.7165,0.58
4.1608,0.6
4.6503,0.62
4.6704,0.64
4.8023,0.66
5.0621,0.68
5.1539,0.7
5.6181,0.72
5.7064,0.74
6.0519,0.76
6.27,0.78
6.3295,0.8
6.6568,0.82
7.0445,0.84
7.5042,0.86
7.5208,0.88
7.9451,0.9
8.8353,0.92
8.9617,0.94
9.9812,0.96
12.093,0.98
13.089,1
