0.35355,0.02
0.55902,0.04
0.55902,0.06
0.55902,0.08
0.79057,0.1
0.79057,0.12
0.90139,0.14
0.90139,0.16
0.90139,0.18
0.90139,0.2
1.0308,0.22
1.0607,0.24
1.0607,0.26
1.2748,0.28
1.2748,0.3
1.3463,0.32
1.4577,0.34
1.4577,0.36
1.5207,0.38
1.6771,0.4
1.6771,0.42
1.75,0.44
1.7678,0.46
1.7678,0.48
1.7678,0.5
2.0616,0.52
2.1506,0.54
2.2361,0.56
2.3049,0.58
2.4622,0.6
2.5125,0.62
2.8504,0.64
3.4821,0.66
3.5089,0.68
3.5795,0.7
4.0078,0.72
4.0697,0.74
4.0697,0.76
4.2573,0.78
4.423,0.8
4.5962,0.82
4.9624,0.84
5.3444,0.86
6.8648,0.88
7.3015,0.9
7.4917,0.92
8.0039,0.94
9.5033,0.96
10.61,0.98
11.971,1
