0.25,0.02
0.35355,0.04
0.55902,0.06
0.55902,0.08
0.55902,0.1
0.79057,0.12
0.90139,0.14
0.90139,0.16
0.90139,0.18
1.0308,0.2
1.0607,0.22
1.0607,0.24
1.0607,0.26
1.0607,0.28
1.2748,0.3
1.5207,0.32
1.6008,0.34
1.7678,0.36
1.82,0.38
1.9039,0.4
2.2361,0.42
2.3717,0.44
2.5125,0.46
2.5495,0.48
2.5739,0.5
2.7613,0.52
2.8504,0.54
2.8504,0.56
2.8504,0.58
3.25,0.6
3.2596,0.62
3.4731,0.64
3.4821,0.66
3.5795,0.68
3.7165,0.7
4.0078,0.72
4.0697,0.74
4.1608,0.76
4.2793,0.78
4.5069,0.8
4.6503,0.82
5.1296,0.84
5.4829,0.86
5.7554,0.88
5.7987,0.9
6.27,0.92
6.8237,0.94
7.3527,0.96
7.6035,0.98
11.294,1
