0.5,0.5,-63.66355338,-56.22583489,-36.56533836,-55.46555173
0.5,1,-50.97885614,-51.72903759,-42.1553635,-47.57759647
0.5,1.5,-51.23184388,-48.56540895,-43.70420645,-55.91110878
0.5,2,-49.11651619,-51.17349891,-45.92754718,-59.87652694
0.5,2.5,-49.66665597,-55.23409771,-47.27776017,-59.36498706
0.5,3,-56.13413974,-51.49188315,-56.85519565,-60.17661342
0.5,3.5,-49.06702644,-59.18472123,-48.49114058,-57.19928043
0.5,4,-51.40580196,-56.05286014,-47.26427784,-58.67969795
0.5,4.5,-46.61410971,-57.4398771,-51.31800882,-58.22933952
1,4.5,-41.95172331,-53.6277126,-52.54481198,-59.3228432
1,4,-49.08458231,-53.00417425,-52.78997079,-59.66520659
1,3.5,-52.40810195,-49.26110231,-54.36583609,-58.43810104
1,3,-50.69214101,-54.97257798,-48.37528349,-57.98968381
1,2.5,-57.92789309,-51.58998129,-47.21984156,-53.57250566
1,2,-51.16378821,-63.92481922,-50.19417465,-54.17870402
1,1.5,-50.22859592,-53.20763563,-44.89143025,-54.41053537
1,1,-56.29776775,-60.11196917,-43.40761057,-56.49655197
1,0.5,-54.07460861,-54.28157483,-47.14559508,-53.24339392
1.5,0.5,-55.76879781,-53.56871412,-43.41818841,-50.81216818
1.5,1,-53.65292475,-53.32617158,-46.50844632,-47.47946001
1.5,1.5,-53.1161138,-53.31273161,-45.17020912,-55.95517691
1.5,2,-52.53419338,-51.99755157,-46.43227188,-59.00870729
1.5,2.5,-48.73779892,-54.77160577,-47.52081079,-62.96592146
1.5,3,-52.69996288,-53.51492759,-52.81464357,-56.05646245
1.5,3.5,-52.93310689,-51.84891143,-50.29166102,-58.81321645
1.5,4,-50.44604912,-52.3306114,-54.8217092,-56.07010791
1.5,4.5,-43.59376574,-50.14894952,-54.79108075,-53.62425898
2,4.5,-48.1851516,-49.93014941,-51.81793114,-52.54958232
2,4,-53.17689824,-52.59038331,-53.43149211,-53.22044588
2,3.5,-54.07708459,-49.67890748,-54.99877904,-57.0728579
2,3,-56.09018489,-51.60262924,-53.20956256,-53.74819949
2,2.5,-52.0687079,-49.88390609,-45.49802446,-59.11601545
2,2,-53.14389664,-50.21742723,-52.29988804,-55.18746979
2,1.5,-55.85255408,-52.75664946,-54.70134795,-53.85820933
2,1,-51.52062759,-54.41023244,-46.60758366,-51.74781629
2,0.5,-55.40552526,-52.23522585,-51.19403212,-57.4686701
2.5,0.5,-59.43567564,-52.1933972,-50.79965537,-54.10930289
2.5,1,-52.74590319,-48.68881225,-47.13402139,-54.15700181
2.5,1.5,-54.94437533,-54.60108409,-54.26044618,-60.37308789
2.5,2,-53.15521534,-52.53704053,-51.59767523,-59.2149597
2.5,2.5,-53.27580538,-48.49333861,-45.84107453,-54.51530176
2.5,3,-56.96419285,-51.44298465,-50.18576949,-55.88079398
2.5,3.5,-50.34718909,-49.06299524,-50.56570802,-54.07035991
2.5,4,-57.60783064,-49.93531233,-54.96531174,-58.84563413
2.5,4.5,-52.22281986,-50.02472274,-56.72728746,-56.01922867
3,4.5,-51.37040969,-46.79184162,-55.50545582,-55.67287022
3,4,-57.46058552,-48.13385235,-53.20648842,-54.04285777
3,3.5,-57.17608199,-48.94310123,-53.54433484,-56.48051408
3,3,-47.74397158,-49.24156108,-49.96912395,-54.80269526
3,2.5,-55.56011188,-48.04998062,-52.59376288,-53.4954307
3,2,-55.94520111,-50.9352419,-52.67197392,-50.9447622
3,1.5,-52.39364133,-50.0635175,-54.17003396,-57.80200748
3,1,-53.98889638,-54.70035723,-47.52610211,-51.8153477
3,0.5,-59.51453904,-54.18613986,-53.44323165,-47.74337995
3.5,0.5,-51.46126384,-56.05279123,-52.60283338,-47.1493559
3.5,1,-54.35103557,-56.06942577,-59.12136916,-49.63639778
3.5,1.5,-50.35988484,-48.82768649,-50.56095179,-54.51503496
3.5,2,-59.91303925,-55.50347855,-49.48138533,-50.53505652
3.5,2.5,-54.18720195,-43.86816749,-53.73362424,-58.55031994
3.5,3,-51.12901364,-48.07074895,-54.35552289,-66.4058646
3.5,3.5,-54.10434031,-46.69611277,-51.74573832,-56.39251023
3.5,4,-56.03124068,-42.26529381,-52.80999803,-55.29410558
3.5,4.5,-52.60123454,-44.57215171,-52.30064806,-57.35845295
4,4.5,-50.88286625,-43.14766081,-57.93750161,-51.8906609
4,4,-52.71531352,-46.00787624,-57.29466692,-50.63360112
4,3.5,-56.72550549,-42.85199354,-50.94931558,-49.17995483
4,3,-52.50532275,-47.20241367,-56.95348516,-51.05871271
4,2.5,-48.67208453,-53.7070181,-50.58185367,-54.64636576
4,2,-57.42449578,-45.94146849,-56.18392993,-47.13789768
4,1.5,-63.28878279,-51.92568371,-50.46999351,-47.82951188
4,1,-61.12983782,-50.53506286,-56.27684082,-49.43588952
4,0.5,-59.60120463,-51.40481811,-48.4328664,-45.3751169
4.5,0.5,-52.41389207,-54.17964003,-49.30368869,-46.80760071
4.5,1,-57.64311421,-46.92670294,-57.88971233,-42.52821712
4.5,1.5,-52.03157443,-48.9630377,-52.83057365,-46.45470755
4.5,2,-60.15728263,-48.17082615,-57.41567725,-47.76253423
4.5,2.5,-55.50436935,-47.21145028,-54.63222884,-50.22719068
4.5,3,-50.84809819,-46.76545716,-54.76455369,-49.65896592
4.5,3.5,-54.13734737,-44.16678406,-54.13412543,-52.38323292
4.5,4,-55.20087352,-41.38023883,-52.18702231,-54.50043166
4.5,4.5,-59.36417782,-39.46913433,-52.11869056,-54.86259962
