0.16667,0.022222
0.16667,0.044444
0.2357,0.066667
0.2357,0.088889
0.2357,0.11111
0.2357,0.13333
0.37268,0.15556
0.37268,0.17778
0.37268,0.2
0.52705,0.22222
0.52705,0.24444
0.60093,0.26667
0.60093,0.28889
0.60093,0.31111
0.68718,0.33333
0.68718,0.35556
0.68718,0.37778
0.83333,0.4
0.83333,0.42222
0.84984,0.44444
0.84984,0.46667
0.84984,0.48889
0.84984,0.51111
0.89753,0.53333
0.97183,0.55556
0.97183,0.57778
0.97183,0.6
1.0138,0.62222
1.118,0.64444
1.1785,0.66667
1.2134,0.68889
1.4337,0.71111
1.5366,0.73333
1.5723,0.75556
1.5811,0.77778
1.5811,0.8
1.5811,0.82222
1.6997,0.84444
1.6997,0.86667
1.7717,0.88889
1.8409,0.91111
1.9508,0.93333
2.6034,0.95556
2.6874,0.97778
4.7376,1
