0.2357,0.022222
0.37268,0.044444
0.5,0.066667
0.52705,0.088889
0.52705,0.11111
0.52705,0.13333
0.60093,0.15556
0.68718,0.17778
0.68718,0.2
0.70711,0.22222
0.70711,0.24444
0.70711,0.26667
0.83333,0.28889
0.89753,0.31111
0.89753,0.33333
0.97183,0.35556
0.97183,0.37778
1.118,0.4
1.118,0.42222
1.1785,0.44444
1.3017,0.46667
1.3437,0.48889
1.3437,0.51111
1.3744,0.53333
1.3744,0.55556
1.424,0.57778
1.5092,0.6
1.5811,0.62222
1.5811,0.64444
1.7159,0.66667
1.8028,0.68889
1.9003,0.71111
2.0138,0.73333
2.0344,0.75556
2.2236,0.77778
2.3154,0.8
2.7487,0.82222
2.848,0.84444
3,0.86667
3.0596,0.88889
3.1136,0.91111
3.2872,0.93333
3.4359,0.95556
4.5765,0.97778
4.8591,1
