Error_m,ECDF
0.6813231218367566,0.02
1.4464748537815773,0.04
1.5,0.06
2.2670530906030906,0.08
2.3071838193681438,0.1
2.3717082451262845,0.12
2.3834727288155464,0.14
2.5382334426327624,0.16
2.689029274987227,0.18
3.1402251073557372,0.2
3.209636651852765,0.22
3.438886916978191,0.24
3.4913095500947318,0.26
3.817548743690297,0.28
4.040632376290004,0.3
4.5459624572320445,0.32
4.986358384167111,0.34
5.25,0.36
5.281609770334053,0.38
5.303300858899107,0.4
5.345672385588591,0.42
5.476032218493491,0.44
5.654905311764869,0.46
5.816724240932053,0.48
6.312215330972734,0.5
6.367402606430635,0.52
7.423402342303587,0.54
7.424621202458749,0.56
7.589893041016764,0.58
7.764222501943041,0.6
8.036182494796446,0.62
8.373610720891591,0.64
8.96043694134938,0.66
9.03868565274277,0.68
9.874402767793397,0.7
10.44629120788809,0.72
10.519201857903141,0.74
10.738365797457265,0.76
11.858541225631422,0.78
12.20911544707478,0.8
12.310529769089014,0.82
13.638149383892264,0.84
13.807599179822999,0.86
14.59065518756714,0.88
14.614757908275669,0.9
15.428086188955804,0.92
16.050700919274522,0.94
18.01898362469061,0.96
18.929144196185945,0.98
20.272148039460134,1.0
