val/loss,val/mean_error,val/mean_mse,val/mean_rmse,val/mean_variance,val/mean_std,val/mean_mae,val/mean_error_best,epoch,step,train/loss,train/mean_error,train/mean_mse,train/mean_rmse,train/mean_variance,train/mean_std,train/mean_mae,test/loss,test/mean_error,test/mean_mse,test/mean_rmse,test/mean_variance,test/mean_std,test/mean_mae
6.927689075469971,3.45023512840271,6.927689075469971,6.927689075469971,6.927689075469971,6.927689075469971,6.927689075469971,3.45023512840271,0,0,,,,,,,,,,,,,,
,,,,,,,,0,0,5.570867538452148,3.1010093688964844,11.141735076904297,3.337923765182495,1.5254766941070557,1.2351019382476807,1.9990005493164062,,,,,,,
6.348296165466309,3.28027606010437,6.348296165466309,6.348296165466309,6.348296165466309,6.348296165466309,6.348296165466309,3.28027606010437,1,1,,,,,,,,,,,,,,
,,,,,,,,1,1,4.961693286895752,2.906619071960449,9.923385620117188,3.1501405239105225,1.4749525785446167,1.214476227760315,1.861437439918518,,,,,,,
5.830254554748535,3.125011682510376,5.830254554748535,5.830254554748535,5.830254554748535,5.830254554748535,5.830254554748535,3.125011682510376,2,2,,,,,,,,,,,,,,
,,,,,,,,2,2,4.482977867126465,2.7478036880493164,8.96595573425293,2.9943206310272217,1.4155325889587402,1.1897615194320679,1.7587751150131226,,,,,,,
5.402338981628418,2.999859094619751,5.402338981628418,5.402338981628418,5.402338981628418,5.402338981628418,5.402338981628418,2.999859094619751,3,3,,,,,,,,,,,,,,
,,,,,,,,3,3,4.062896728515625,2.604948043823242,8.125792503356934,2.8505775928497314,1.3400392532348633,1.1576006412506104,1.6643481254577637,,,,,,,
5.016805171966553,2.8933236598968506,5.016805171966553,5.016805171966553,5.016805171966553,5.016805171966553,5.016805171966553,2.8933236598968506,4,4,,,,,,,,,,,,,,
,,,,,,,,4,4,3.720900535583496,2.48508882522583,7.441801071166992,2.727966547012329,1.2661339044570923,1.1252261400222778,1.5887560844421387,,,,,,,
4.629796981811523,2.7874670028686523,4.629796981811523,4.629796981811523,4.629796981811523,4.629796981811523,4.629796981811523,2.7874670028686523,5,5,,,,,,,,,,,,,,
,,,,,,,,5,5,3.417353630065918,2.3752243518829346,6.834706783294678,2.6143271923065186,1.1930170059204102,1.0922532081604004,1.5160757303237915,,,,,,,
4.263753890991211,2.685244560241699,4.263753890991211,4.263753890991211,4.263753890991211,4.263753890991211,4.263753890991211,2.685244560241699,6,6,,,,,,,,,,,,,,
,,,,,,,,6,6,3.1189401149749756,2.264537811279297,6.237880229949951,2.497574806213379,1.1097489595413208,1.0534461736679077,1.4439901113510132,,,,,,,
3.9340925216674805,2.590071439743042,3.9340925216674805,3.9340925216674805,3.9340925216674805,3.9340925216674805,3.9340925216674805,2.590071439743042,7,7,,,,,,,,,,,,,,
,,,,,,,,7,7,2.8433613777160645,2.1614363193511963,5.686722755432129,2.3846850395202637,1.0149154663085938,1.007430076599121,1.3789684772491455,,,,,,,
3.6361656188964844,2.5009450912475586,3.6361656188964844,3.6361656188964844,3.6361656188964844,3.6361656188964844,3.6361656188964844,2.5009450912475586,8,8,,,,,,,,,,,,,,
,,,,,,,,8,8,2.602344512939453,2.069883108139038,5.204689025878906,2.281378746032715,0.920272171497345,0.9593081474304199,1.3261933326721191,,,,,,,
3.3724255561828613,2.4191737174987793,3.3724255561828613,3.3724255561828613,3.3724255561828613,3.3724255561828613,3.3724255561828613,2.4191737174987793,9,9,,,,,,,,,,,,,,
,,,,,,,,9,9,2.391350746154785,1.988396167755127,4.78270149230957,2.186938762664795,0.8289817571640015,0.9104843735694885,1.2739993333816528,,,,,,,
3.1371078491210938,2.3438405990600586,3.1371078491210938,3.1371078491210938,3.1371078491210938,3.1371078491210938,3.1371078491210938,2.3438405990600586,10,10,,,,,,,,,,,,,,
,,,,,,,,10,10,2.212855100631714,1.9180783033370972,4.4257097244262695,2.1037371158599854,0.7466851472854614,0.864109456539154,1.22359037399292,,,,,,,
2.9299466609954834,2.2756173610687256,2.9299466609954834,2.9299466609954834,2.9299466609954834,2.9299466609954834,2.9299466609954834,2.2756173610687256,11,11,,,,,,,,,,,,,,
,,,,,,,,11,11,2.0607352256774902,1.858551025390625,4.121469974517822,2.0301403999328613,0.6672577857971191,0.8168584704399109,1.190098524093628,,,,,,,
2.750474214553833,2.2148070335388184,2.750474214553833,2.750474214553833,2.750474214553833,2.750474214553833,2.750474214553833,2.2148070335388184,12,12,,,,,,,,,,,,,,
,,,,,,,,12,12,1.9341994524002075,1.8092389106750488,3.868398904800415,1.9668245315551758,0.5950539708137512,0.7713974118232727,1.1676697731018066,,,,,,,
2.601120710372925,2.1628057956695557,2.601120710372925,2.601120710372925,2.601120710372925,2.601120710372925,2.601120710372925,2.1628057956695557,13,13,,,,,,,,,,,,,,
,,,,,,,,13,13,1.832315444946289,1.768808364868164,3.664630889892578,1.9143226146697998,0.535947322845459,0.7320842146873474,1.145509958267212,,,,,,,
2.4773054122924805,2.1178383827209473,2.4773054122924805,2.4773054122924805,2.4773054122924805,2.4773054122924805,2.4773054122924805,2.1178383827209473,14,14,,,,,,,,,,,,,,
,,,,,,,,14,14,1.7555937767028809,1.7379306554794312,3.5111875534057617,1.8738162517547607,0.49078449606895447,0.7005601525306702,1.1246020793914795,,,,,,,
2.3747446537017822,2.079075336456299,2.3747446537017822,2.3747446537017822,2.3747446537017822,2.3747446537017822,2.3747446537017822,2.079075336456299,15,15,,,,,,,,,,,,,,
,,,,,,,,15,15,1.700662612915039,1.7153284549713135,3.401325225830078,1.8442682027816772,0.4589736759662628,0.6774759888648987,1.106884241104126,,,,,,,
2.2913782596588135,2.0458030700683594,2.2913782596588135,2.2913782596588135,2.2913782596588135,2.2913782596588135,2.2913782596588135,2.0458030700683594,16,16,,,,,,,,,,,,,,
,,,,,,,,16,16,1.6630438566207886,1.7005996704101562,3.3260879516601562,1.8237565755844116,0.4340484142303467,0.6588234901428223,1.0996750593185425,,,,,,,
2.2275161743164062,2.018622398376465,2.2275161743164062,2.2275161743164062,2.2275161743164062,2.2275161743164062,2.2275161743164062,2.018622398376465,17,17,,,,,,,,,,,,,,
,,,,,,,,17,17,1.6403532028198242,1.6922476291656494,3.2807061672210693,1.8112720251083374,0.41700467467308044,0.6457589864730835,1.1007174253463745,,,,,,,
2.178565502166748,1.996178150177002,2.178565502166748,2.178565502166748,2.178565502166748,2.178565502166748,2.178565502166748,1.996178150177002,18,18,,,,,,,,,,,,,,
,,,,,,,,18,18,1.630362629890442,1.688692331314087,3.2607250213623047,1.8057477474212646,0.4090430438518524,0.6395647525787354,1.102318286895752,,,,,,,
2.1426267623901367,1.9783624410629272,2.1426267623901367,2.1426267623901367,2.1426267623901367,2.1426267623901367,2.1426267623901367,1.9783624410629272,19,19,,,,,,,,,,,,,,
