Error_m,ECDF
0.33042510131165054,0.0625
0.3612276411530019,0.125
0.5552676579173931,0.1875
0.7937660151255329,0.25
0.9523143001870855,0.3125
0.9604426154596608,0.375
1.0092903519580807,0.4375
1.1033797653947786,0.5
1.2820401255573861,0.5625
1.429095760689337,0.625
1.559954770373937,0.6875
1.819821250509981,0.75
1.8218740003654792,0.8125
1.8779526369255235,0.875
2.148383884484065,0.9375
3.112073263919087,1.0
