0.5,0.5,-52.16220897,-59.1206391,-51.82678072,-36.29416086,-54.58745518,-50.96378658,-35.03319118,-53.4331262
0.5,1,-56.42115591,-58.47873763,-52.59496747,-45.99917112,-56.77440217,-55.04591877,-41.02394501,-54.58012665
0.5,1.5,-60.45888924,-52.92789426,-50.16361571,-40.71754269,-53.0215446,-56.14548784,-39.7613264,-51.06952191
0.5,2,-52.89950141,-50.1038436,-57.41551979,-46.43856026,-46.90661273,-51.85590059,-40.58823687,-53.93339493
0.5,2.5,-47.39946702,-58.66100632,-49.37068341,-42.78188684,-47.5318384,-49.23364939,-43.47537667,-52.47317468
0.5,3,-56.0604857,-54.91411583,-60.49142314,-46.10188806,-51.62597438,-59.42991428,-46.60218611,-55.42485526
0.5,3.5,-49.13206068,-68.41893325,-56.83674555,-51.18356716,-46.64200388,-49.50571258,-44.31840558,-53.29899509
0.5,4,-40.36544401,-52.25794875,-57.4404836,-49.4305407,-41.83184805,-56.08765812,-50.79714367,-55.02612811
0.5,4.5,-46.85274904,-54.22136242,-55.05977666,-51.23220597,-44.7109029,-52.28646253,-48.19574324,-54.54741164
1,4.5,-46.72519891,-55.79381369,-54.3711201,-48.73035571,-46.99298792,-54.09352753,-46.76587561,-60.59858334
1,4,-45.28437279,-57.57087375,-61.22186001,-49.16480826,-41.93317262,-51.58137789,-45.87489611,-57.74966147
1,3.5,-53.40964505,-55.32320534,-62.0461424,-45.0233016,-55.7534967,-54.73579427,-53.99713157,-55.52421331
1,3,-58.72524383,-66.52632161,-50.95677083,-47.52612899,-54.03184947,-50.78502701,-49.50064561,-51.82968634
1,2.5,-49.36121882,-47.8381406,-58.3154529,-46.056238,-53.86747216,-48.35868387,-46.05799188,-53.49041644
1,2,-47.0557695,-62.27742333,-67.03415278,-43.39206117,-48.01319936,-52.70993773,-46.48306555,-56.87104591
1,1.5,-56.32379472,-56.39603935,-58.53303897,-40.70578262,-51.37274739,-47.33721849,-41.72304739,-54.05713211
1,1,-56.26532419,-49.40065876,-58.60519577,-40.90516407,-51.91378225,-51.43808224,-41.99563469,-54.40478176
1,0.5,-53.48842255,-48.69454689,-53.92086227,-47.56710288,-51.14092033,-54.00333562,-40.94154976,-52.29841588
1.5,0.5,-49.41075951,-56.15099433,-63.47064793,-43.27673646,-50.8026727,-51.57303538,-43.53330807,-52.91590935
1.5,1,-50.49533402,-47.65138963,-54.93730528,-46.07529862,-45.8524973,-46.82836829,-45.48792168,-54.92534469
1.5,1.5,-55.08918249,-49.18972621,-56.56965195,-45.84770012,-51.04599447,-48.70114104,-42.8825212,-48.26820256
1.5,2,-55.80112866,-48.3991704,-56.34947758,-50.1253358,-54.20075706,-47.52451292,-43.29094532,-52.33374838
1.5,2.5,-55.1648275,-49.30135139,-51.54966413,-46.33809777,-54.01505414,-54.05641719,-46.68598306,-56.51849333
1.5,3,-46.27328948,-47.93806203,-62.20349858,-47.33682571,-47.13518485,-48.01902688,-48.24107707,-56.60106137
