0.5,0.5,-52.16220897,-59.1206391,-51.82678072,-36.29416086,-53.11860104,-53.13258924,-32.89052502,-54.43823276
0.5,1,-56.42115591,-58.47873763,-52.59496747,-45.99917112,-53.8007094,-51.40616509,-40.32693979,-52.89478896
0.5,1.5,-60.45888924,-52.92789426,-50.16361571,-40.71754269,-53.07584407,-52.90338565,-41.56813026,-51.25907635
0.5,2,-52.89950141,-50.1038436,-57.41551979,-46.43856026,-47.8301851,-54.88736098,-40.04658872,-55.1520147
0.5,2.5,-47.39946702,-58.66100632,-49.37068341,-42.78188684,-50.39059902,-49.40783461,-43.34542799,-54.81692116
0.5,3,-56.0604857,-54.91411583,-60.49142314,-46.10188806,-48.74807613,-51.81622478,-45.54909486,-53.25522481
0.5,3.5,-49.13206068,-68.41893325,-56.83674555,-51.18356716,-46.75650383,-49.88039945,-45.6011337,-52.55679209
0.5,4,-40.36544401,-52.25794875,-57.4404836,-49.4305407,-42.21665577,-51.85781887,-47.87803057,-57.46112675
0.5,4.5,-46.85274904,-54.22136242,-55.05977666,-51.23220597,-42.44095699,-51.47545189,-47.8631682,-52.91605071
1,4.5,-46.72519891,-55.79381369,-54.3711201,-48.73035571,-47.10169632,-56.73833372,-47.64372089,-53.30617927
1,4,-45.28437279,-57.57087375,-61.22186001,-49.16480826,-43.86888225,-51.64511941,-48.77155539,-58.29916351
1,3.5,-53.40964505,-55.32320534,-62.0461424,-45.0233016,-49.92666244,-51.10905493,-49.22959309,-56.42741245
1,3,-58.72524383,-66.52632161,-50.95677083,-47.52612899,-52.21516157,-53.889933,-48.80680129,-51.83766519
1,2.5,-49.36121882,-47.8381406,-58.3154529,-46.056238,-47.41138269,-48.90265485,-48.23112434,-52.51419209
1,2,-47.0557695,-62.27742333,-67.03415278,-43.39206117,-49.48525831,-51.37277636,-44.3825807,-55.89369675
1,1.5,-56.32379472,-56.39603935,-58.53303897,-40.70578262,-49.90216816,-49.75288071,-43.76108982,-53.03913608
1,1,-56.26532419,-49.40065876,-58.60519577,-40.90516407,-55.00787262,-52.59238119,-42.68861096,-50.91679174
1,0.5,-53.48842255,-48.69454689,-53.92086227,-47.56710288,-54.07048274,-52.31676226,-36.29656694,-53.88594525
1.5,0.5,-49.41075951,-56.15099433,-63.47064793,-43.27673646,-56.67436604,-51.05458429,-44.32620553,-54.90049242
1.5,1,-50.49533402,-47.65138963,-54.93730528,-46.07529862,-48.49876328,-50.43135864,-43.43139156,-50.20773302
1.5,1.5,-55.08918249,-49.18972621,-56.56965195,-45.84770012,-53.70752333,-52.57539119,-44.27827997,-51.69266716
1.5,2,-55.80112866,-48.3991704,-56.34947758,-50.1253358,-50.89900764,-47.94219044,-44.59925472,-54.05875909
