x_true,y_true,x_est,y_est,Error_m
0.0,1.0,0.0,3.672901629153374,2.672901629153374
0.75,2.25,0.9146394290178167,1.469828946226412,0.7973537575841124
1.0,1.75,0.0,0.30923959280226343,1.7537931893323646
1.25,0.75,1.4673661035958772,0.973291712020645,0.3116203004452121
1.25,4.0,2.5054145270554677,3.7164671228668102,1.2870340038854173
1.75,2.5,1.7724238839045063,2.7560289459067646,0.257009049863019
2.0,0.0,1.7100502808106723,1.2743047850593054,1.3068754817820298
2.25,1.25,5.0,2.7712175490713378,3.14270629101776
2.5,2.0,1.9417136873688723,2.9735847861047713,1.1222971721455661
2.75,0.5,2.2467035888747233,1.2980196189445234,0.9434736825539681
3.0,2.75,2.2736362366712197,4.261085436597823,1.6765987932046182
3.25,1.0,4.068197720224217,2.239841186493637,1.4854809581768647
3.25,3.75,3.1264291507515476,3.1136360295665026,0.6482506133046608
3.75,0.25,4.581885573406856,1.494661571210599,1.4970691480659437
4.25,1.25,3.2148597193982527,0.5529473281512515,1.24795746235829
4.75,2.25,4.0540411530582405,1.6992429994281966,0.8875201351605229
