x,y,ble_rssi1,ble_rssi2,ble_rssi3,ble_rssi4,ble_rssi5,ble_rssi6,ble_rssi7,ble_rssi8,sle_rssi1,sle_rssi2,sle_rssi3,sle_rssi4,sle_rssi5,sle_rssi6,sle_rssi7,sle_rssi8
3.0,16.5,-74.79730865,-68.778849,-64.71074862,-55.68104043,-70.68003492,-62.59292356,-72.55736902,-67.19572706,-67.00151973,-68.10873649,-65.47776662,-55.056931,-74.71817834,-64.1721101,-73.74524047,-71.38163423
3.0,15.0,-65.5526652,-69.65584957,-65.97968366,-49.14291705,-76.45326882,-63.36049523,-71.01643321,-68.52937043,-67.38056308,-68.87375743,-67.70318113,-55.1090591,-78.01979286,-62.16031125,-71.5201902,-74.16292092
3.0,13.5,-67.07284544,-73.50447589,-69.96965649,-57.13034002,-73.77188456,-61.72843904,-69.45047074,-66.3632359,-68.67630261,-74.8763397,-70.68564848,-52.78110885,-75.24135695,-60.98753949,-71.56100116,-69.38133738
3.0,12.0,-68.18511063,-68.18455602,-71.51104632,-56.90919597,-70.31622149,-59.66314474,-63.99939943,-67.68236469,-70.9710748,-72.27518753,-72.33831983,-58.16467112,-71.77517495,-62.35600477,-66.59675769,-71.88210346
3.0,10.5,-69.77315796,-67.81720684,-75.9538865,-57.37052742,-70.71636292,-61.99853436,-63.05329471,-73.93726931,-69.01739099,-67.67612568,-78.82552675,-59.38811759,-65.57951798,-58.32566594,-61.50668788,-74.93680112
3.0,9.0,-73.78066599,-62.85195666,-74.87491289,-58.30088256,-65.48619356,-57.94468714,-65.56310247,-74.45925028,-70.53243842,-61.73370838,-73.88685714,-62.6304415,-62.70815953,-55.65945218,-65.80700924,-76.20973539
3.0,7.5,-74.26716308,-62.97310892,-70.24553105,-61.03768706,-65.01110677,-56.08533525,-65.75430811,-63.46478393,-71.17775485,-64.6985391,-75.08623574,-64.08761757,-63.19853233,-53.78961934,-63.84814188,-68.13220445
3.0,6.0,-73.84079117,-65.46516301,-68.0300365,-56.90807037,-65.92680884,-53.82651701,-64.91712352,-62.91193973,-72.16251786,-64.77498502,-68.03047523,-61.78691462,-65.22960262,-57.60917926,-63.6986707,-65.94260414
3.0,4.5,-75.27855477,-69.56099665,-76.43262148,-67.45656131,-75.59814353,-58.12431373,-59.51283893,-63.94854421,-71.37589401,-65.00308218,-73.82762638,-60.98182121,-75.47539836,-56.18286452,-64.82887967,-66.91235399
3.0,3.0,-69.24319243,-67.49052299,-77.34607789,-64.52702027,-66.82920382,-49.47927239,-63.19034994,-72.5323369,-74.85486493,-64.93753796,-77.0087213,-63.91088655,-65.30611245,-52.57329349,-68.69816399,-75.77796134
3.0,1.5,-71.05497251,-70.60601918,-81.71637276,-73.27564101,-67.95708174,-52.66499298,-68.25992397,-67.4538423,-72.18930707,-69.10089727,-81.09699501,-67.02829236,-62.81144113,-52.42561109,-66.02902952,-71.1918012
4.5,1.5,-78.69916703,-73.12462179,-76.19758389,-71.40993377,-64.55046653,-56.90558134,-64.25219571,-77.08029847,-73.34584513,-74.02410766,-81.57436176,-72.89641232,-62.65971755,-59.08446765,-67.79497139,-75.24364629
4.5,3.0,-71.23024699,-72.58833586,-80.66883098,-67.12854094,-65.23294956,-59.21042579,-65.74161051,-71.18117844,-70.49105911,-72.14512386,-76.93785838,-66.35371133,-64.84051943,-58.63572666,-65.08628991,-71.8083477
4.5,4.5,-74.21665808,-75.7861235,-75.94165751,-65.13178628,-72.43789029,-55.05083889,-60.6539955,-75.08712929,-69.83628693,-73.45973841,-75.93733831,-69.3975055,-70.02151459,-58.55778117,-62.84144369,-76.62289043
4.5,6.0,-71.67238876,-71.17965467,-73.4719593,-72.3622139,-66.21801596,-57.16327272,-63.90027246,-63.92935571,-68.28518466,-68.13050595,-72.15986931,-65.65489453,-65.86236084,-56.54260114,-64.92959815,-69.91752585
4.5,7.5,-68.26650406,-67.55808659,-70.85418648,-66.45980576,-64.93365763,-57.32594533,-60.8914222,-70.72953565,-73.71075142,-65.979177,-69.76035214,-69.40085732,-62.87022597,-55.47139827,-61.64901965,-71.87151827
4.5,9.0,-68.49844523,-63.71681962,-71.36132209,-63.16829349,-66.24574349,-56.12194794,-62.32492784,-70.26523036,-66.66118572,-63.74553594,-70.06848836,-64.43697275,-66.4087051,-57.80945696,-62.73592889,-73.65266758
4.5,10.5,-72.1543232,-70.23681111,-70.86459348,-57.45979873,-68.90750453,-59.02636137,-66.50978926,-70.63072945,-72.74922467,-68.37200069,-75.35219213,-58.82143336,-69.51503376,-58.72947133,-67.66561903,-70.8725828
4.5,12.0,-73.11357751,-72.99502396,-77.88996951,-62.68431755,-70.68120381,-60.78049123,-70.83743312,-64.68201499,-71.56703404,-69.13878848,-80.78357452,-62.93073388,-67.96972314,-60.10957933,-69.89854125,-66.36593024
4.5,13.5,-71.01977347,-69.3379945,-77.42836637,-58.45934928,-70.442221,-61.74111831,-70.1984943,-71.91326128,-67.38901347,-66.07531241,-74.37351311,-54.05995712,-74.91788333,-61.34501919,-68.15470795,-72.16623636
4.5,15.0,-71.13322543,-72.15765497,-67.0427184,-56.05291458,-79.71406715,-63.40383028,-66.9627356,-64.70723701,-68.50162739,-65.94254858,-66.84602443,-52.18107665,-76.73909198,-63.5016302,-68.39287366,-68.67169527
4.5,16.5,-67.57154907,-67.41076147,-64.24719611,-55.92611072,-75.66936978,-65.53054975,-68.77565653,-65.74369552,-67.66322298,-72.36393986,-63.60089044,-59.30021986,-75.52439265,-66.34166855,-68.60254535,-67.61903912
4.5,18.0,-63.79149885,-70.58377394,-68.93470178,-60.67811949,-76.24306339,-73.8500081,-68.66444009,-68.24467917,-62.19143145,-72.64499286,-66.43249954,-62.43148631,-73.29684018,-69.06425743,-68.35188664,-72.43390918
4.5,19.5,-68.33384945,-61.61010867,-68.25809584,-64.84027915,-70.91638146,-65.97300202,-66.4134341,-68.29157951,-61.78605165,-62.83427254,-70.20579415,-61.68506904,-63.89934302,-65.4851752,-68.21991908,-72.62677567
4.5,21.0,-67.95878498,-56.75100258,-72.15745785,-66.53055824,-63.63767671,-65.77176384,-63.40531657,-68.55695764,-67.58144677,-57.85510889,-74.82160505,-62.40738045,-64.06809707,-63.87237285,-65.78573206,-71.85749967
4.5,22.5,-69.27731197,-58.5351867,-69.8221721,-65.60770481,-68.30101999,-61.69159271,-65.22487118,-70.13357718,-64.73556924,-56.80995249,-67.39317366,-61.5688182,-72.55914798,-62.34804499,-67.12584786,-72.948354
4.5,24.0,-64.10564772,-57.94733239,-69.61781347,-61.42129369,-75.58897943,-64.95859814,-76.54766671,-73.82858301,-60.14665653,-59.27273967,-69.88306579,-63.49975741,-78.67988703,-60.88433922,-74.32440318,-74.874645
4.5,25.5,-69.45383913,-57.36632534,-69.44743284,-67.59410228,-65.42173159,-63.75531875,-72.02370559,-73.82336152,-61.46292224,-57.16982311,-65.48631034,-66.47737456,-68.32452469,-61.16799259,-71.76894098,-76.88319682
4.5,27.0,-65.20434683,-58.09367883,-71.19853036,-65.89643519,-65.34057613,-64.62536634,-70.14281194,-73.98621875,-62.69367076,-59.57291859,-68.38027774,-66.68344385,-71.69467337,-64.91611594,-72.83459924,-78.79745995
