x,y,ble_rssi1,ble_rssi2,ble_rssi3,ble_rssi4,ble_rssi5,ble_rssi6,ble_rssi7,ble_rssi8,sle_rssi1,sle_rssi2,sle_rssi3,sle_rssi4,sle_rssi5,sle_rssi6,sle_rssi7,sle_rssi8
1,11,-62.24581653,-61.44254693,-66.63662835,-53.05589678,-71.88355941,-61.11612536,-63.83489364,-74.06045847,-64.64304155,-63.36662938,-65.54873826,-52.45850917,-71.04681552,-60.16416456,-62.61106316,-73.02912584
1,12,-60.61174915,-61.31472908,-63.97564323,-57.14134972,-73.2150359,-63.59879783,-61.61350285,-75.99684573,-60.87229101,-60.6305011,-62.98227425,-55.66250967,-71.67682966,-62.32041983,-60.6944401,-73.99020519
1,13,-62.25599693,-64.00931934,-65.91324959,-59.56808197,-68.9657128,-62.39474172,-61.70844864,-69.77516736,-60.20265141,-63.67035017,-61.83192078,-60.75324028,-71.88733803,-61.93128268,-60.59418888,-73.5931347
1,14,-65.11724059,-66.76304811,-66.46182324,-60.68883552,-73.91630032,-60.35814943,-62.21858051,-69.98174303,-62.79320364,-64.66615185,-63.45302736,-61.75088529,-68.87924953,-60.86895781,-61.11898911,-73.91184444
1,15,-59.99430202,-63.99444513,-64.54719583,-60.05698959,-68.12234569,-60.6735279,-66.76464171,-68.56912604,-58.87145206,-66.11549204,-62.58935578,-59.76045456,-69.79048629,-60.34880507,-64.13425503,-71.8764208
2,15,-60.61075359,-65.17689223,-63.48404853,-61.1324305,-70.01418847,-59.85316732,-64.58144786,-70.28202221,-61.18203658,-67.6116385,-62.29510889,-61.62471443,-69.091304,-61.44880502,-63.29241108,-73.77722183
2,14,-60.43593586,-61.69432425,-62.61540237,-63.0028123,-70.4062267,-59.96241588,-60.13762853,-73.5139954,-57.52451016,-61.16383003,-60.54107737,-63.85925759,-68.57791702,-60.65873548,-60.16555677,-74.17381388
2,13,-59.04921008,-60.96959222,-61.78816207,-63.98431989,-80.73869125,-61.55688069,-62.43711091,-74.15120476,-58.67235883,-62.19856074,-61.13692088,-65.10562212,-70.26371522,-61.6538243,-60.08211073,-74.83470367
2,12,-59.51584807,-64.22758165,-65.74978935,-60.43601054,-69.10420886,-61.53499574,-60.48275432,-71.69456261,-64.58600166,-62.70340928,-62.42535381,-59.55251887,-71.94573785,-61.60375002,-60.64208998,-73.89109813
2,11,-64.04112739,-59.07087261,-63.26067462,-54.52422035,-67.61359935,-58.89440935,-62.87183104,-72.08817139,-62.45516896,-58.49260061,-62.66286761,-53.57968245,-71.39250776,-58.54293547,-63.0300244,-73.41983306
2,10,-60.94493761,-58.14607368,-66.06301066,-54.06542997,-67.4897663,-56.49489287,-64.45834912,-73.6991426,-60.17448598,-59.46714086,-65.84596616,-54.33095307,-69.9266629,-56.22535054,-63.31078898,-70.98999263
2,9,-66.6837484,-61.78721,-66.73461019,-63.17634925,-66.70684516,-57.96136316,-60.46963342,-71.34945425,-69.68718895,-61.45021032,-65.15586539,-53.53634547,-68.75086545,-56.70451293,-59.2914771,-70.78758848
2,8,-62.64733682,-60.12776227,-67.94808559,-50.6811501,-62.80520934,-55.33753332,-63.81581775,-68.36573818,-60.99503907,-59.41968698,-66.30261967,-49.98576701,-65.18571606,-55.16136879,-60.80342123,-67.89820272
2,7,-74.70913402,-61.52299312,-67.17607184,-58.83305922,-65.46875122,-56.01602532,-63.48337569,-68.19659956,-68.8899595,-61.13055743,-67.93105619,-62.24774242,-63.74701542,-55.64377358,-63.59793975,-66.65917594
2,6,-66.17148078,-67.70624053,-69.38188593,-53.92959805,-63.43507607,-55.32091168,-63.74509087,-67.45173705,-63.64104999,-69.50766595,-68.09066542,-53.36121977,-62.20726884,-54.68007786,-63.93403411,-67.25438456
2,5,-66.2387173,-62.97267,-68.72818546,-63.275271,-63.60899908,-55.12911708,-63.56104029,-67.50409483,-63.34766653,-65.98319761,-66.26974817,-58.83321403,-61.77506724,-55.26053261,-62.36621142,-66.58124046
2,4,-73.76145733,-63.0202078,-69.86193514,-59.94004681,-64.42144281,-53.22839157,-68.81809606,-68.80802239,-70.40475388,-63.77858202,-65.6493231,-60.55814238,-62.36025222,-53.25752664,-63.98589261,-66.40960776
2,3,-74.91470975,-60.82391346,-66.24502095,-62.16896388,-64.29759181,-48.73962461,-67.04399024,-67.59836825,-71.28732837,-63.29870689,-65.74814609,-60.49230094,-65.22742911,-48.61330219,-64.72094772,-65.60309491
2,2,-72.85738622,-62.9206963,-67.04962875,-62.33957954,-64.73649513,-52.06607388,-64.37661745,-67.94077976,-72.66009677,-63.74668318,-65.44369263,-61.96361901,-66.30452518,-48.44197772,-65.38643293,-65.78091799
2,1,-70.51412263,-65.76903451,-64.05812944,-75.80626784,-67.82764719,-49.17020155,-61.95141533,-67.50667082,-71.38374751,-67.39677677,-66.10524798,-68.16653909,-66.58187361,-52.27603771,-63.1054428,-65.29526414
3,1,-68.82748487,-63.30690918,-68.03371547,-68.66422995,-62.42822748,-52.38014217,-58.59284704,-68.73832706,-69.26240774,-66.82466689,-70.87920471,-69.77874733,-65.06442174,-52.1279301,-58.33112326,-67.78217443
3,2,-74.17716273,-64.13952399,-65.45159299,-63.20610822,-62.98343012,-51.18220108,-60.19659592,-73.77496254,-71.20904241,-64.46499006,-68.00738164,-62.99839927,-62.75051189,-51.59019592,-63.40901665,-69.32868441
3,3,-69.74881739,-64.9680416,-64.88190301,-66.62537003,-61.200827,-52.51937326,-63.31135937,-74.45147946,-72.10984265,-63.40906705,-67.81264875,-65.80770227,-60.92602307,-52.83857388,-63.86437328,-69.42058246
3,4,-70.16450508,-63.98345043,-67.50474679,-62.06718095,-61.50423075,-55.08134559,-61.1098544,-73.23228463,-69.50580648,-65.57493352,-70.13074541,-61.25613764,-61.35082506,-54.01887449,-62.10079617,-70.99156737
3,5,-68.82839989,-64.73931738,-69.75942515,-60.64254154,-63.19380897,-56.71729355,-62.43246761,-70.39893153,-65.483708,-68.44188766,-68.06061922,-63.24673822,-61.16295913,-55.91094288,-60.54583468,-69.59237765
3,6,-66.21901199,-63.95773099,-68.67817492,-65.90678211,-60.61484321,-55.79644475,-62.02505605,-70.75706056,-63.48670839,-65.60936023,-67.91237973,-59.77410319,-61.05175167,-55.35871342,-59.96022133,-69.63088813
3,7,-74.04460133,-61.22913807,-66.02105676,-63.24607589,-62.33628176,-56.39163352,-61.81666196,-67.29640535,-68.01001014,-61.3854393,-67.28469651,-61.20765493,-62.43866907,-55.43924569,-60.13735961,-67.64269385
3,8,-66.51330344,-60.03737466,-66.68680417,-57.07299427,-64.29381143,-57.43693446,-64.80064172,-67.71235518,-65.79726625,-61.97878577,-67.19907088,-55.73449679,-62.83644429,-55.68088949,-61.67003083,-66.84056868
3,9,-66.12760666,-59.68079988,-64.01585903,-60.61188675,-72.25040862,-56.91587373,-59.43750677,-67.84239832,-62.43151644,-60.4704828,-62.9476574,-58.32446642,-65.04414093,-57.02211679,-58.31804373,-67.47470224
3,10,-66.58899283,-57.86628325,-66.90055032,-57.41768972,-67.40945122,-56.17790211,-61.16621699,-67.85885167,-70.24974937,-59.43972318,-64.47662618,-57.57390563,-68.89389268,-56.75240039,-59.50135042,-69.46340856
3,11,-63.40026623,-60.45993846,-61.65692576,-56.37506347,-67.61317732,-59.70503131,-64.35144256,-73.77540538,-62.80894543,-62.03413895,-61.56959343,-54.80487622,-70.71100005,-59.43839816,-63.47145368,-73.19482341
3,12,-62.62252172,-57.33146814,-59.99194647,-58.06347863,-73.48704811,-60.49074433,-61.47916288,-74.08844618,-60.383686,-56.78091984,-58.94323157,-57.33391973,-70.92497151,-61.4569792,-61.58007453,-72.08203349
3,13,-60.89657678,-58.62580674,-60.78984832,-58.76275319,-66.74227518,-60.67020984,-61.66482001,-73.72631639,-60.35187148,-58.72435072,-59.73569378,-57.92738072,-71.09792255,-60.92234942,-60.16266276,-73.91710766
3,14,-65.45487339,-60.49126083,-63.57104192,-63.34547518,-68.59437246,-59.44158345,-61.34247812,-75.3323509,-68.40017295,-57.36899486,-59.81920687,-62.09510596,-70.09380214,-59.4589751,-59.79183297,-75.6536657
3,15,-61.93765467,-66.64287881,-65.04097233,-64.59364707,-70.73780393,-60.71623679,-60.86665751,-71.81944831,-61.73099903,-61.3742693,-61.21728083,-63.81712221,-68.82928755,-60.86632438,-61.92015809,-75.79782063
4,15,-64.06013417,-53.25868279,-63.64822978,-63.93039625,-68.51513631,-60.15308341,-62.12823096,-73.7672321,-62.98680743,-59.30834534,-61.78735961,-64.01507176,-70.24976813,-60.38173661,-61.41170506,-76.78294858
4,14,-66.77753482,-53.37222443,-60.232603,-61.38254603,-67.6043671,-59.78749736,-61.4290729,-70.65195402,-65.40715298,-55.06282932,-59.18932894,-62.00326239,-71.25990145,-58.9956547,-59.95956155,-75.01964551
4,13,-68.49242213,-57.44819799,-59.02294798,-64.27689949,-73.51595293,-59.13973668,-60.78145359,-70.1563597,-66.17437819,-57.33528789,-58.87563131,-63.223047,-71.61478567,-58.27765097,-60.23606477,-73.75313483
4,12,-63.20044046,-57.45631264,-60.76444232,-60.49302432,-70.87683456,-60.09204883,-64.77319255,-69.37244489,-61.31850862,-57.02897003,-58.44680935,-58.22479689,-68.69769463,-60.40165622,-63.028177,-71.51274412
4,11,-61.80039652,-57.79197022,-62.64521018,-58.64258406,-71.78727734,-62.26252088,-64.13952313,-67.3256099,-61.7798807,-58.31884462,-60.25222435,-58.94409683,-69.20520795,-61.07577132,-61.14674056,-69.41661097
4,10,-70.32029223,-59.5720427,-62.33925455,-61.66660472,-65.20366939,-56.64988897,-57.69976016,-67.00757158,-74.25096871,-60.78302106,-60.42109422,-63.46102929,-70.09166621,-57.51625714,-57.99181757,-68.43425731
4,9,-64.29117943,-58.18571394,-61.62491194,-56.2564028,-69.20674869,-57.78018761,-63.95047188,-69.3034818,-63.06707188,-57.98574919,-66.16424097,-56.24264723,-63.97131747,-58.605187,-59.10921904,-67.73161657
4,8,-71.32803981,-61.78774008,-69.49311404,-57.1367943,-62.28966913,-58.1742276,-59.06065299,-70.33699911,-69.667829,-61.58185445,-65.629064,-55.92094329,-65.43938726,-58.06944959,-60.61495378,-67.9488033
4,7,-67.49704827,-62.14718246,-66.62632034,-66.10232661,-66.64400974,-57.23995453,-56.88816604,-69.8236377,-65.74841464,-60.75709168,-65.1157036,-66.57509281,-64.63855794,-57.72160772,-57.51094579,-69.90608847
4,6,-65.91903702,-63.80492773,-72.32051352,-63.32515984,-61.71832998,-57.92424564,-58.88502925,-71.37943526,-64.78019674,-63.46560024,-67.13509896,-64.58494917,-61.49618475,-58.77130452,-59.04203091,-71.6792852
4,5,-68.10961924,-63.23117816,-67.13964517,-66.16271119,-59.23521442,-56.68606921,-60.67012837,-72.02839173,-67.41675154,-67.6561288,-67.90148006,-64.00355401,-60.16142515,-56.41563162,-61.86811167,-73.70057167
4,4,-69.91100894,-63.70809023,-66.73827718,-62.69300949,-61.47667266,-56.10912227,-59.72737174,-74.94001014,-70.74915194,-67.02674923,-68.55366937,-62.35931092,-60.3176142,-54.53741335,-60.20389839,-73.31080803
