x_true,y_true,x_est,y_est
0.0,1.0,0.0,2.4224116915355856
0.75,2.25,0.3922353902061795,2.129149441921769
1.0,1.75,0.0,0.0
1.25,0.75,1.8534943424105879,0.9091690428870912
1.25,4.0,1.434718898824653,3.3231838530743443
1.75,2.5,1.321493089077877,3.1375473154607048
2.0,0.0,2.5648654151013184,1.998178744460086
2.25,1.25,4.6779167939245,2.1160915633648614
2.5,2.0,1.6159317562425024,2.947247746437626
2.75,0.5,2.1804347527100134,0.0
3.0,2.75,3.1318120046078977,4.022453893348678
3.25,1.0,4.792032870672565,2.555391359755188
3.25,3.75,2.880328192348477,2.910002662732363
3.75,0.25,3.4996805656711847,0.7244513596652712
4.25,1.25,4.130858127927521,1.1859245436047259
4.75,2.25,4.8836905454499,2.168896901112846
