x_true,y_true,x_est,y_est
0.0,1.0,0.9232472555443317,2.8847833859022383
0.75,2.25,1.043644031243512,1.8881056424539173
1.0,1.75,0.0,0.7717822449983788
1.25,0.75,1.73456033987012,2.0998578515111705
1.25,4.0,0.32020732714725475,2.4220977847183693
1.75,2.5,1.7020865076743104,2.9013920504322424
2.0,0.0,2.486348033108082,1.21313220368635
2.25,1.25,5.1,0.0
2.5,2.0,2.8108005826040934,4.099773288901212
2.75,0.5,1.6167888125997043,0.37133322173592054
3.0,2.75,4.168932108640305,4.612353499704522
3.25,1.0,5.1,2.2864620209237096
3.25,3.75,2.8787404005930655,2.5396261248676626
3.75,0.25,3.1093164506297315,1.5271433684841689
4.25,1.25,4.356847193897372,1.8039265475114823
4.75,2.25,3.85418526253667,2.5587962623786766
