x_true,y_true,x_est,y_est
0.0,1.0,0.0,3.4440000000343303
0.75,2.25,1.6027529718744231,1.2795279148346246
1.0,1.75,0.0,0.9332211388646843
1.25,0.75,1.3239051473812522,2.0443299161012867
1.25,4.0,2.1401845667649195,3.380906545075999
1.75,2.5,2.1947440886566776,2.5633872561284625
2.0,0.0,1.5553624306373086,1.0373222730624585
2.25,1.25,5.1,0.0
2.5,2.0,3.18817894080475,3.9438440419883194
2.75,0.5,1.816101532135173,1.8832414972124583
3.0,2.75,3.2990218931729234,5.018625804104065
3.25,1.0,5.1,1.334928685265432
3.25,3.75,3.0734885534178025,2.6387165445078518
3.75,0.25,3.751366817181351,2.0912509597607394
4.25,1.25,3.662789818273007,1.4923841487442728
4.75,2.25,3.2828916697671513,2.1924824296670486
