val/loss,val/mean_error,val/mean_mse,val/mean_rmse,val/mean_variance,val/mean_std,val/mean_error_best,epoch,step,train/loss,train/mean_error,train/mean_mse,train/mean_rmse,train/mean_variance,train/mean_std,test/loss,test/mean_error,test/mean_mse,test/mean_rmse,test/mean_variance,test/mean_std
30.041685104370117,7.048171520233154,60.08335876464844,7.751345634460449,10.406635284423828,3.2259316444396973,7.048171520233154,0,0,,,,,,,,,,,,
,,,,,,,0,0,56.2819938659668,9.796494483947754,112.56398010253906,10.609617233276367,16.592689514160156,4.0734124183654785,,,,,,
28.757043838500977,6.902881622314453,57.51408767700195,7.583804130554199,9.864310264587402,3.140749931335449,6.902881622314453,1,1,,,,,,,,,,,,
,,,,,,,1,1,53.97146224975586,9.568315505981445,107.94292449951172,10.389558792114258,16.390256881713867,4.048488140106201,,,,,,
27.588693618774414,6.7700724601745605,55.177391052246094,7.4281487464904785,9.343510627746582,3.056715726852417,6.7700724601745605,2,2,,,,,,,,,,,,
,,,,,,,2,2,51.86906814575195,9.359478950500488,103.7381362915039,10.185192108154297,16.138273239135742,4.017247200012207,,,,,,
26.525650024414062,6.648788928985596,53.05130386352539,7.283632755279541,8.844897270202637,2.9740371704101562,6.648788928985596,3,3,,,,,,,,,,,,
,,,,,,,3,3,49.91975021362305,9.163259506225586,99.83948516845703,9.991971015930176,15.874146461486816,3.9842371940612793,,,,,,
25.581485748291016,6.541242599487305,51.162967681884766,7.152829170227051,8.375116348266602,2.89397931098938,6.541242599487305,4,4,,,,,,,,,,,,
,,,,,,,4,4,48.11669921875,8.979129791259766,96.2333984375,9.80986213684082,15.608621597290039,3.950774908065796,,,,,,
24.74770164489746,6.446057319641113,49.49540710449219,7.035297393798828,7.943744659423828,2.818464994430542,6.446057319641113,5,5,,,,,,,,,,,,
,,,,,,,5,5,46.489681243896484,8.812044143676758,92.97936248779297,9.64258098602295,15.32725715637207,3.915004014968872,,,,,,
23.979867935180664,6.358548164367676,47.95973205566406,6.925296306610107,7.528601169586182,2.7438297271728516,6.358548164367676,6,6,,,,,,,,,,,,
,,,,,,,6,6,45.038291931152344,8.661714553833008,90.07658386230469,9.49086856842041,15.051291465759277,3.8795993328094482,,,,,,
23.259891510009766,6.276437759399414,46.51978302001953,6.8205413818359375,7.126110076904297,2.6694774627685547,6.276437759399414,7,7,,,,,,,,,,,,
,,,,,,,7,7,43.679161071777344,8.519603729248047,87.35832214355469,9.346567153930664,14.774683952331543,3.843785047531128,,,,,,
22.587501525878906,6.199590682983398,45.17499542236328,6.7212347984313965,6.740077972412109,2.596165895462036,6.199590682983398,8,8,,,,,,,,,,,,
,,,,,,,8,8,42.37953567504883,8.38260555267334,84.75907135009766,9.20646858215332,14.49099349975586,3.806703805923462,,,,,,
21.95200538635254,6.126367568969727,43.90401077270508,6.626009941101074,6.371633529663086,2.524209499359131,6.126367568969727,9,9,,,,,,,,,,,,
,,,,,,,9,9,41.13732147216797,8.250750541687012,82.27464294433594,9.070536613464355,14.199756622314453,3.768256425857544,,,,,,
21.372350692749023,6.059397220611572,42.74470138549805,6.537943363189697,6.028403282165527,2.4552807807922363,6.059397220611572,10,10,,,,,,,,,,,,
,,,,,,,10,10,39.93793869018555,8.122401237487793,79.87588500976562,8.937331199645996,13.902484893798828,3.7286036014556885,,,,,,
20.80988883972168,5.9939799308776855,41.619773864746094,6.451338768005371,5.6919755935668945,2.3857860565185547,5.9939799308776855,11,11,,,,,,,,,,,,
,,,,,,,11,11,38.80018615722656,8.000247955322266,77.60037231445312,8.809107780456543,13.596404075622559,3.6873302459716797,,,,,,
20.257156372070312,5.9290852546691895,40.514312744140625,6.365085601806641,5.3602705001831055,2.315225839614868,5.9290852546691895,12,12,,,,,,,,,,,,
,,,,,,,12,12,37.671451568603516,7.878093242645264,75.34290313720703,8.680028915405273,13.278558731079102,3.6439757347106934,,,,,,
19.72250747680664,5.865753173828125,39.44501495361328,6.280526638031006,5.037956714630127,2.244539260864258,5.865753173828125,13,13,,,,,,,,,,,,
,,,,,,,13,13,36.53319549560547,7.754836082458496,73.06639862060547,8.54788875579834,12.928912162780762,3.595679759979248,,,,,,
19.220598220825195,5.805559158325195,38.44119644165039,6.200096607208252,4.736685276031494,2.1763927936553955,5.805559158325195,14,14,,,,,,,,,,,,
,,,,,,,14,14,35.39131164550781,7.630668640136719,70.78263092041016,8.413241386413574,12.555516242980957,3.5433764457702637,,,,,,
18.75103187561035,5.748269081115723,37.50205993652344,6.123892784118652,4.459464073181152,2.1117444038391113,5.748269081115723,15,15,,,,,,,,,,,,
,,,,,,,15,15,34.27766799926758,7.508760929107666,68.55533599853516,8.279814720153809,12.173852920532227,3.489104986190796,,,,,,
18.307743072509766,5.693263530731201,36.61548614501953,6.05107307434082,4.202237129211426,2.049935817718506,5.693263530731201,16,16,,,,,,,,,,,,
,,,,,,,16,16,33.190460205078125,7.389059543609619,66.38092041015625,8.147448539733887,11.782733917236328,3.432598829269409,,,,,,
17.894556045532227,5.640801906585693,35.78911590576172,5.982400417327881,3.970470428466797,1.9926038980484009,5.640801906585693,17,17,,,,,,,,,,,,
,,,,,,,17,17,32.1150016784668,7.270020008087158,64.2300033569336,8.014362335205078,11.376808166503906,3.372952461242676,,,,,,
17.517885208129883,5.591738224029541,35.035770416259766,5.919102191925049,3.7682409286499023,1.9411957263946533,5.591738224029541,18,18,,,,,,,,,,,,
,,,,,,,18,18,31.05585479736328,7.1522440910339355,62.11170196533203,7.881097793579102,10.957115173339844,3.3101532459259033,,,,,,
17.180007934570312,5.546354293823242,34.360015869140625,5.861741542816162,3.5979678630828857,1.8968310356140137,5.546354293823242,19,19,,,,,,,,,,,,
,,,,,,,19,19,30.01995086669922,7.036686420440674,60.03990173339844,7.748541831970215,10.524940490722656,3.2442164421081543,,,,,,
16.880626678466797,5.504610538482666,33.76124954223633,5.810442924499512,3.4605138301849365,1.8602455854415894,5.504610538482666,20,20,,,,,,,,,,,,
,,,,,,,20,20,29.010263442993164,6.923792839050293,58.02052688598633,7.617120742797852,10.081620216369629,3.175156831741333,,,,,,
16.62549591064453,5.467428207397461,33.25099563598633,5.766367435455322,3.3582193851470947,1.8325445652008057,5.467428207397461,21,21,,,,,,,,,,,,
,,,,,,,21,21,28.02299690246582,6.812967300415039,56.04598617553711,7.486386775970459,9.629460334777832,3.103137254714966,,,,,,
16.416479110717773,5.435218334197998,32.83295822143555,5.730005264282227,3.291358709335327,1.8142101764678955,5.435218334197998,22,22,,,,,,,,,,,,
,,,,,,,22,22,27.066246032714844,6.704938888549805,54.13249206542969,7.357478618621826,9.176292419433594,3.0292396545410156,,,,,,
16.25849151611328,5.409038066864014,32.51698303222656,5.702366352081299,3.2592885494232178,1.8053499460220337,5.409038066864014,23,23,,,,,,,,,,,,
,,,,,,,23,23,26.141115188598633,6.600239276885986,52.2822380065918,7.230645656585693,8.719064712524414,2.952806234359741,,,,,,
16.154329299926758,5.38975191116333,32.308658599853516,5.684070587158203,3.259233236312866,1.8053346872329712,5.38975191116333,24,24,,,,,,,,,,,,
,,,,,,,24,24,25.254291534423828,6.499918460845947,50.50857162475586,7.106938362121582,8.259624481201172,2.8739562034606934,,,,,,
16.104280471801758,5.377740859985352,32.20855712890625,5.675258159637451,3.2884652614593506,1.8134125471115112,5.377740859985352,25,25,,,,,,,,,,,,
,,,,,,,25,25,24.407732009887695,6.403726577758789,48.81546401977539,6.986806392669678,7.8077473640441895,2.7942347526550293,,,,,,
16.119489669799805,5.375154972076416,32.23897933959961,5.677937984466553,3.346689224243164,1.8293958902359009,5.375154972076416,26,26,,,,,,,,,,,,
,,,,,,,26,26,23.583066940307617,6.309250831604004,47.166133880615234,6.86776065826416,7.359500408172607,2.7128398418426514,,,,,,
16.201618194580078,5.381710529327393,32.40324020385742,5.692384243011475,3.4404327869415283,1.8548403978347778,5.375154972076416,27,27,,,,,,,,,,,,
,,,,,,,27,27,22.806774139404297,6.219685077667236,45.613548278808594,6.753780364990234,6.929063320159912,2.6323113441467285,,,,,,
16.352569580078125,5.40834903717041,32.705135345458984,5.718840599060059,3.454899787902832,1.8587360382080078,5.375154972076416,28,28,,,,,,,,,,,,
,,,,,,,28,28,22.084087371826172,6.135415554046631,44.168174743652344,6.645914077758789,6.524849891662598,2.5543785095214844,,,,,,
16.57299041748047,5.45027494430542,33.14598083496094,5.757254600524902,3.4404819011688232,1.854853630065918,5.375154972076416,29,29,,,,,,,,,,,,
,,,,,,,29,29,21.421072006225586,6.0571818351745605,42.84214401245117,6.545391082763672,6.1526923179626465,2.480462074279785,,,,,,
16.862913131713867,5.499322891235352,33.725826263427734,5.807394027709961,3.483269453048706,1.8663519620895386,5.375154972076416,30,30,,,,,,,,,,,,
,,,,,,,30,30,20.8225040435791,5.985729694366455,41.645015716552734,6.45329475402832,5.816049575805664,2.411648750305176,,,,,,
17.214982986450195,5.553949356079102,34.429962158203125,5.86770486831665,3.5836126804351807,1.8930432796478271,5.375154972076416,31,31,,,,,,,,,,,,
,,,,,,,31,31,20.29323387145996,5.922013282775879,40.586463928222656,6.370750427246094,5.516230583190918,2.348665714263916,,,,,,
17.62830352783203,5.614039897918701,35.25660705566406,5.937727451324463,3.739163875579834,1.9336917400360107,5.375154972076416,32,32,,,,,,,,,,,,
,,,,,,,32,32,19.832477569580078,5.866046905517578,39.66495132446289,6.298011779785156,5.254449367523193,2.2922585010528564,,,,,,
18.098329544067383,5.67899227142334,36.196659088134766,6.016366004943848,3.9457101821899414,1.98638117313385,5.375154972076416,33,33,,,,,,,,,,,,
,,,,,,,33,33,19.44346046447754,5.818502426147461,38.88691711425781,6.235937595367432,5.031949520111084,2.2432007789611816,,,,,,
18.617374420166016,5.747872352600098,37.23474884033203,6.1020283699035645,4.196717262268066,2.048588991165161,5.375154972076416,34,34,,,,,,,,,,,,
,,,,,,,34,34,19.124988555908203,5.779595375061035,38.24997329711914,6.184656143188477,4.846253871917725,2.201420783996582,,,,,,
19.175806045532227,5.819599628448486,38.35161209106445,6.192867755889893,4.483867645263672,2.1175146102905273,5.375154972076416,35,35,,,,,,,,,,,,
,,,,,,,35,35,18.874935150146484,5.749381065368652,37.74987030029297,6.144092082977295,4.694488048553467,2.1666767597198486,,,,,,
19.76188087463379,5.892899036407471,39.52376174926758,6.286792755126953,4.797506809234619,2.190321207046509,5.375154972076416,36,36,,,,,,,,,,,,
,,,,,,,36,36,18.689912796020508,5.72685432434082,37.37982177734375,6.113903999328613,4.5829691886901855,2.140787124633789,,,,,,
20.36180305480957,5.9662909507751465,40.723609924316406,6.381505489349365,5.126972675323486,2.264281988143921,5.375154972076416,37,37,,,,,,,,,,,,
,,,,,,,37,37,18.56492805480957,5.711425304412842,37.12985610961914,6.0934271812438965,4.5094804763793945,2.12355375289917,,,,,,
20.959943771362305,6.03812313079834,41.91988754272461,6.474556922912598,5.4609527587890625,2.3368680477142334,5.375154972076416,38,38,,,,,,,,,,,,
,,,,,,,38,38,18.493379592895508,5.702586650848389,36.986759185791016,6.081674098968506,4.467260360717773,2.1135895252227783,,,,,,
21.53934097290039,6.106618881225586,43.07868194580078,6.563435077667236,5.78788948059082,2.4058032035827637,5.375154972076416,39,39,,,,,,,,,,,,
,,,,,,,39,39,18.46717643737793,5.699330806732178,36.934349060058594,6.07736349105835,4.451980113983154,2.109971523284912,,,,,,
