x_true,y_true,x_est,y_est,Error_m
0.0,1.0,1.628580863531471,2.137533531071235,1.986519107225577
0.75,2.25,0.0,2.7748677809414537,0.9154158549372006
1.0,1.75,0.0,0.0,2.0155644370746373
1.25,0.75,2.1918119768397015,1.0096265453542033,0.9769420365463166
1.25,4.0,0.0,2.3230778958362848,2.091546734699673
1.75,2.5,0.48733320339940117,3.4963650306855474,1.6084373514721144
2.0,0.0,3.772798832705993,2.272174831444862,2.8819427763047654
2.25,1.25,3.6570652819090452,0.8277674830456595,1.469051736981165
2.5,2.0,0.984869272646912,2.83693123173686,1.7309173890241196
2.75,0.5,1.8449481753789208,0.0,1.033982013987644
3.0,2.75,4.023867917229934,3.580901971046925,1.3185991041337877
3.25,1.0,5.0,3.1813362933859466,2.796556458368531
3.25,3.75,2.6011728189896304,2.8424166745490935,1.1156541594304163
3.75,0.25,2.9532908275653575,0.0,0.8350122786172026
4.25,1.25,5.0,1.5302360840331963,0.8006449043079339
4.75,2.25,5.0,2.3250647739469903,0.2610262827527388
