x,y,wifi_rssi1,wifi_rssi2,wifi_rssi3,wifi_rssi4,wifi_rssi5,wifi_rssi6,wifi_rssi7,wifi_rssi8,sle_rssi1,sle_rssi2,sle_rssi3,sle_rssi4,sle_rssi5,sle_rssi6,sle_rssi7,sle_rssi8
4,13,-63.31720278,-54.70125078,-69.41222308,-59.64635738,-66.36132515,-60.21668916,-58.87507475,-68.28974047,-66.17437819,-57.33528789,-58.87563131,-63.223047,-71.61478567,-58.27765097,-60.23606477,-73.75313483
4,14,-59.85958507,-57.36186905,-65.38500869,-60.4415797,-67.04386835,-60.10414718,-58.29933212,-71.41661806,-65.40715298,-55.06282932,-59.18932894,-62.00326239,-71.25990145,-58.9956547,-59.95956155,-75.01964551
5,2,-66.51243137,-65.03283682,-73.67255357,-65.63449822,-67.78473814,-62.01556963,-56.01828073,-61.74058317,-69.77015842,-64.01084213,-71.01759957,-64.63744394,-63.67585979,-58.70576227,-52.79458075,-61.65327844
5,12,-60.46509266,-54.89349834,-70.58919387,-59.85276646,-66.52445606,-60.50210503,-61.18649494,-65.86835716,-64.66900667,-56.85928485,-60.80828827,-63.59216329,-67.54069744,-59.15736422,-62.71777826,-68.42722918
5,14,-70.23390151,-50.51856837,-65.89391601,-65.52980807,-65.38588713,-58.86735695,-58.69821337,-68.16544709,-66.47749769,-55.09547978,-62.79320641,-66.22607778,-68.71497297,-58.41727504,-60.00235343,-73.11712256
6,2,-68.31185762,-69.88396537,-73.32881197,-63.14074754,-70.74484255,-57.02933782,-49.24688931,-66.15879184,-71.87546321,-64.83110442,-73.05619461,-67.43396157,-67.31405244,-57.34914533,-51.0610555,-64.37242308
6,3,-66.68508321,-67.21947812,-70.4998518,-65.22117927,-70.65834473,-57.80403279,-50.68873898,-62.47306641,-71.85008999,-66.71262439,-72.99585312,-67.32579112,-68.71848808,-58.43312016,-49.61394946,-63.08342605
6,4,-71.20852761,-66.46638212,-71.35677197,-66.51272954,-69.91328311,-56.97214494,-52.98330061,-64.45499243,-72.57959355,-68.35232582,-70.67241567,-71.19116386,-68.37328086,-59.06179433,-54.58521133,-62.85257814
6,5,-68.38642225,-61.95285925,-65.78515644,-64.09077366,-66.49522,-55.84857264,-56.42388858,-62.49332112,-70.85201585,-66.22633396,-68.9433007,-62.8325976,-67.8348599,-57.52456885,-56.69178821,-62.89942638
6,6,-67.03634064,-64.21809566,-66.10003119,-65.82899109,-70.88469035,-60.01483722,-60.91596699,-65.2289149,-67.68159016,-63.41367267,-63.97062025,-62.04452012,-63.78192198,-59.99341667,-58.96404635,-65.04954271
6,8,-67.19662662,-57.1376549,-66.8592009,-58.54958777,-62.45743649,-59.80831415,-58.86999702,-66.9810014,-67.64936211,-60.45313006,-61.76905312,-65.40669797,-63.35794486,-57.78330834,-55.12171938,-73.3385547
6,10,-62.34101087,-88.53770346,-68.25923448,-65.61268562,-68.12444925,-63.92105869,-57.40417163,-64.07787002,-65.23740109,-60.55608359,-63.12640709,-64.0754493,-71.04918978,-61.11103553,-56.48951831,-68.54945915
