x,y,rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8
8,12,-73.93584506,-53.35841117,-65.28805061,-66.74751342,-67.02432353,-58.67456329,-63.34611409,-65.67647423
8,14,-64.89209559,-49.09125159,-63.68868615,-66.27823571,-67.66809572,-60.79748317,-59.96586851,-66.11027544
8,15,-65.99277079,-45.45387987,-64.3279937,-65.1726433,-64.35433513,-63.28155315,-59.72567925,-68.03683894
9,6,-71.14811561,-68.46008985,-65.95397814,-70.82440742,-68.91383524,-61.53022332,-55.41346564,-66.33478261
9,12,-66.78633727,-60.42774198,-64.03802661,-65.07847153,-67.13669442,-59.65348247,-63.35443883,-65.79763289
10,1,-73.4758353,-68.60965206,-72.03970988,-72.26150711,-60.30979531,-60.65650945,-48.42433706,-66.19680141
10,2,-72.1352677,-70.24375181,-69.72191687,-69.48950116,-61.692221,-59.39196739,-48.69760351,-62.63917432
10,3,-73.23636042,-72.07442245,-66.62991588,-69.22728991,-62.55251567,-59.50912855,-48.76764285,-61.3682072
10,4,-73.56889761,-70.08711615,-65.50224364,-67.87217636,-61.41499539,-62.11310856,-52.84144851,-65.55425413
10,6,-72.7691884,-65.1871816,-66.07227576,-68.25548545,-62.18670708,-64.98277955,-56.20043615,-62.02711662
10,7,-71.08945114,-66.11200498,-67.93250193,-64.25827038,-61.52884659,-67.21593894,-57.58564211,-67.30657259
10,8,-73.12761248,-59.31735509,-64.14730884,-62.94088862,-66.94722008,-65.5042142,-55.09320747,-67.03090386
10,9,-73.72834979,-68.28478516,-63.26273894,-61.9956813,-62.03512765,-62.99466941,-57.88874716,-63.71621893
10,10,-72.93358286,-59.62017701,-64.20292609,-62.32658495,-66.79127018,-61.50073789,-56.6259628,-63.88958196
10,12,-66.78300733,-64.48044086,-63.07068692,-64.65849411,-64.14955953,-62.70796685,-62.76353674,-67.2090291
10,14,-68.35532562,-56.16679432,-63.44488659,-67.83111348,-63.9103779,-66.79546398,-60.81328668,-64.36814456
11,2,-70.87048521,-69.80339634,-68.93229565,-73.10875075,-60.01406472,-62.76562484,-49.7629449,-64.76796186
11,6,-71.28930662,-67.17509831,-66.70385676,-69.35213929,-58.90526686,-67.59269854,-57.10182721,-65.2179532
11,12,-75.76048819,-59.13082283,-62.20207263,-68.39637639,-65.66596252,-64.6377261,-62.94422717,-67.28215034
12,2,-72.37857858,-70.72932749,-69.06312627,-72.6617384,-57.21619923,-66.62918502,-55.33759904,-62.40800361
12,4,-73.93285252,-70.39818166,-66.65767186,-73.34273069,-52.95574427,-67.37148316,-55.09942914,-60.0250192
12,5,-74.91077135,-67.44318778,-66.31859726,-72.06553152,-53.35701274,-67.93216023,-58.64180851,-64.56171781
12,6,-71.21136382,-64.60271676,-67.87564518,-73.82972116,-52.27526148,-65.96634188,-58.75378316,-61.75936431
12,7,-74.4978934,-68.82577678,-64.53920016,-69.27782131,-55.30385805,-64.62658729,-56.53121701,-63.88442993
12,8,-69.75935817,-65.8338333,-61.1497573,-66.27818949,-54.1023826,-63.82973529,-57.72841544,-62.79059592
12,10,-72.89872306,-74.48260234,-59.80566059,-65.91202874,-58.84576702,-65.81886156,-57.08138259,-61.9113112
12,11,-73.25232472,-61.75962956,-62.30004103,-67.48127275,-62.1892615,-66.67276885,-61.3132892,-63.2551632
12,12,-74.83412268,-62.99943031,-58.18699999,-69.126651,-61.05682724,-67.13214509,-61.36573738,-67.70322681
12,13,-71.92217302,-59.75919195,-52.43194313,-70.10132598,-62.56605206,-68.96547386,-59.11741302,-66.24318622
12,14,-70.63543358,-63.82071286,-55.25647113,-71.19456994,-61.20924948,-69.32783016,-58.66594591,-65.17368405
12,15,-68.14040535,-64.06722618,-52.21121765,-70.23767179,-59.98241416,-66.97140209,-59.66154626,-64.37858678
13,2,-72.12845892,-69.58067158,-68.43408823,-71.43934597,-56.1852154,-63.86855926,-58.43372099,-54.86844418
13,4,-71.68174509,-72.76341463,-68.10334035,-70.42478264,-54.07539169,-65.36449104,-57.7940511,-58.76463084
13,12,-67.26318791,-66.19666088,-55.33167947,-69.86197106,-59.42273047,-68.31232317,-59.614818,-66.07860711
14,2,-71.82812237,-69.84179993,-68.99301362,-73.7317842,-59.54629462,-64.35659217,-58.11568525,-57.97094707
14,4,-73.22413763,-71.99624727,-66.26596228,-70.55326562,-53.39291468,-65.76935937,-58.52044908,-60.37214097
14,5,-72.48841178,-70.57769592,-67.03299362,-69.80826257,-52.75521627,-66.31195998,-57.20807639,-62.71226698
14,6,-74.58701077,-69.29059696,-67.11083849,-67.05943928,-54.59939237,-66.80264932,-60.02219852,-63.28137029
14,7,-73.84383701,-67.16189732,-67.59476845,-65.71231684,-46.11186998,-68.81252199,-60.34161617,-61.34112269
14,8,-72.11071786,-67.48359901,-65.84563821,-65.74171022,-57.34309132,-67.42387891,-57.26620138,-60.4737413
14,9,-72.17063787,-73.94080212,-62.7808096,-67.00042185,-55.48991366,-68.39317154,-58.09653889,-62.48047979
14,10,-69.9800612,-63.10629819,-65.13587328,-67.03298988,-55.85822972,-70.7161707,-61.34244487,-62.73105754
14,11,-69.34765942,-67.30571759,-65.74317767,-68.33428408,-50.45092323,-70.67842262,-59.4940598,-62.12980933
14,12,-68.21276755,-65.3061226,-61.54339978,-67.70556752,-56.56982072,-67.56494892,-57.29319383,-64.68574481
14,13,-66.1946982,-67.75767746,-52.19287583,-69.41066105,-59.51458345,-67.13374588,-57.33244205,-68.28406218
