x,y,ble_rssi1,ble_rssi2,ble_rssi3,ble_rssi4,ble_rssi5,ble_rssi6,ble_rssi7,ble_rssi8,sle_rssi1,sle_rssi2,sle_rssi3,sle_rssi4,sle_rssi5,sle_rssi6,sle_rssi7,sle_rssi8
4,13,-68.49242213,-57.44819799,-59.02294798,-64.27689949,-73.51595293,-59.13973668,-60.78145359,-70.1563597,-66.17437819,-57.33528789,-58.87563131,-63.223047,-71.61478567,-58.27765097,-60.23606477,-73.75313483
4,14,-66.77753482,-53.37222443,-60.232603,-61.38254603,-67.6043671,-59.78749736,-61.4290729,-70.65195402,-65.40715298,-55.06282932,-59.18932894,-62.00326239,-71.25990145,-58.9956547,-59.95956155,-75.01964551
5,2,-71.22763201,-61.75970723,-71.07212339,-66.34294492,-62.74257592,-58.43551983,-54.56645785,-62.95969651,-69.77015842,-64.01084213,-71.01759957,-64.63744394,-63.67585979,-58.70576227,-52.79458075,-61.65327844
5,12,-65.51976467,-56.12042561,-61.34396425,-65.38473794,-72.06984304,-60.31394708,-65.65387868,-68.54684019,-64.66900667,-56.85928485,-60.80828827,-63.59216329,-67.54069744,-59.15736422,-62.71777826,-68.42722918
5,14,-63.29062762,-50.98522519,-60.49960563,-69.95846567,-66.39659526,-58.18733265,-60.78564841,-73.05712743,-66.47749769,-55.09547978,-62.79320641,-66.22607778,-68.71497297,-58.41727504,-60.00235343,-73.11712256
6,2,-68.8308489,-64.36689292,-71.92703776,-71.25431514,-65.2708566,-58.17358192,-51.46150051,-65.57252776,-71.87546321,-64.83110442,-73.05619461,-67.43396157,-67.31405244,-57.34914533,-51.0610555,-64.37242308
6,3,-75.10834499,-62.30664782,-71.35094584,-65.15169558,-71.51905936,-59.70543761,-50.38109769,-64.32050016,-71.85008999,-66.71262439,-72.99585312,-67.32579112,-68.71848808,-58.43312016,-49.61394946,-63.08342605
6,4,-70.46948685,-64.08448633,-68.78172234,-76.39773172,-65.5422456,-58.85822469,-57.83871603,-62.88586278,-72.57959355,-68.35232582,-70.67241567,-71.19116386,-68.37328086,-59.06179433,-54.58521133,-62.85257814
6,5,-70.3803075,-62.14236187,-67.28680414,-65.17560167,-64.33617537,-57.00092249,-55.96458237,-64.57540242,-70.85201585,-66.22633396,-68.9433007,-62.8325976,-67.8348599,-57.52456885,-56.69178821,-62.89942638
6,6,-72.36170569,-61.00254531,-62.03152091,-63.52653795,-63.56917061,-60.18011413,-60.13561203,-64.27183579,-67.68159016,-63.41367267,-63.97062025,-62.04452012,-63.78192198,-59.99341667,-58.96404635,-65.04954271
6,8,-70.17682892,-60.03715702,-64.28547724,-67.38768117,-60.94784409,-61.30675974,-57.88035629,-71.26669217,-67.64936211,-60.45313006,-61.76905312,-65.40669797,-63.35794486,-57.78330834,-55.12171938,-73.3385547
6,10,-69.15949724,-62.65996931,-59.04724985,-61.63273984,-65.77691822,-61.39329699,-58.42168143,-64.70421942,-65.23740109,-60.55608359,-63.12640709,-64.0754493,-71.04918978,-61.11103553,-56.48951831,-68.54945915
6,12,-66.45589015,-56.12550892,-65.56451341,-63.1930504,-67.55793589,-58.28655249,-62.18493338,-65.72812975,-69.37945919,-56.61109757,-63.49352976,-62.47364396,-68.93466731,-58.56513985,-62.07651267,-68.27810701
6,14,-71.09659216,-51.64779896,-62.20417419,-62.14324254,-64.49107644,-60.47550738,-61.97481835,-67.41699514,-65.46349851,-54.90444108,-62.89232011,-63.47643265,-65.75190665,-58.63484933,-61.16539454,-71.45901567
7,8,-69.68755844,-58.97472878,-63.64759146,-64.5284415,-60.91050424,-59.65296702,-58.0058888,-65.44811425,-68.20810924,-63.91125695,-64.71354409,-65.81556631,-60.92727745,-58.87778828,-55.73969009,-68.18743206
7,10,-68.24363157,-63.05453539,-63.62008268,-63.44528276,-66.84543358,-63.21259652,-59.16340703,-68.25581505,-68.04774485,-59.6326527,-63.15748433,-65.44817476,-67.60736962,-60.94706744,-56.49865112,-72.45943623
7,12,-65.82620781,-54.97865358,-64.08153543,-66.91759104,-64.22981087,-57.70091387,-64.81207076,-66.16870165,-66.90130635,-54.53794858,-66.66837152,-66.68575167,-71.18345014,-58.31056094,-62.85705964,-66.09939201
8,1,-76.12862226,-62.76432208,-73.45435004,-70.56482399,-62.24214074,-60.14100011,-39.63019175,-62.59214534,-73.63071502,-64.8265688,-72.71668718,-70.20303204,-64.43125917,-61.20680555,-38.85333401,-60.92034237
8,2,-75.87647114,-63.85984631,-72.35561925,-72.16015589,-61.9642361,-60.62767411,-46.67021588,-62.27973185,-71.88355112,-65.51706566,-71.2790843,-71.36521509,-64.59712054,-59.9479494,-46.11270099,-60.84432603
8,4,-71.53013632,-65.28954316,-64.25336693,-71.03854139,-61.94991969,-63.63058417,-51.72226994,-63.48234035,-72.81339557,-68.67594124,-66.4783069,-66.94093044,-64.92844691,-61.53737192,-51.88012782,-64.68364365
8,5,-73.98320623,-62.70884636,-64.8613608,-65.68103929,-64.65884366,-60.11238508,-53.10728093,-65.3282019,-74.84068718,-64.80342603,-65.55764481,-64.35373331,-67.67509581,-61.22937646,-52.17660167,-67.30762026
8,6,-72.13927416,-62.93167795,-64.4214171,-66.79988914,-62.83284897,-61.0928925,-55.18957167,-65.10585452,-71.49790415,-65.32960388,-64.67162105,-66.66265369,-67.37847989,-59.08319468,-55.44399143,-66.30543059
