x,y,rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8
4,7,-65.75 ,-60.76 ,-65.12 ,-66.58 ,-64.64 ,-57.72 ,-57.51 ,-69.91 
4,6,-64.78 ,-63.47 ,-67.14 ,-64.58 ,-61.50 ,-58.77 ,-59.04 ,-71.68 
4,5,-67.42 ,-67.66 ,-67.90 ,-64.00 ,-60.16 ,-56.42 ,-61.87 ,-73.70 
4,4,-70.75 ,-67.03 ,-68.55 ,-62.36 ,-60.32 ,-54.54 ,-60.20 ,-73.31 
4,3,-70.22 ,-63.03 ,-68.47 ,-60.42 ,-60.04 ,-54.71 ,-58.23 ,-69.52 
4,2,-71.65 ,-64.55 ,-68.90 ,-71.40 ,-60.68 ,-56.88 ,-59.47 ,-67.89 
4,1,-71.06 ,-66.00 ,-69.55 ,-65.05 ,-62.34 ,-56.96 ,-61.58 ,-65.57 
5,1,-71.09 ,-65.00 ,-71.47 ,-65.77 ,-62.18 ,-61.97 ,-60.24 ,-61.59 
5,2,-69.77 ,-64.01 ,-71.02 ,-64.64 ,-63.68 ,-58.71 ,-52.79 ,-61.65 
5,3,-72.38 ,-66.09 ,-71.64 ,-64.62 ,-62.58 ,-55.85 ,-53.31 ,-63.10 
5,4,-71.90 ,-66.00 ,-71.13 ,-62.76 ,-64.74 ,-56.81 ,-56.72 ,-64.88 
5,5,-70.15 ,-66.00 ,-69.20 ,-69.68 ,-63.29 ,-58.19 ,-57.94 ,-67.60 
5,6,-65.59 ,-64.26 ,-67.26 ,-62.02 ,-64.24 ,-58.88 ,-57.97 ,-72.24 
5,7,-64.84 ,-64.04 ,-63.61 ,-65.99 ,-65.38 ,-58.52 ,-58.94 ,-73.48 
5,8,-71.76 ,-62.66 ,-61.80 ,-63.25 ,-67.64 ,-57.69 ,-57.41 ,-71.36 
5,9,-64.83 ,-60.40 ,-62.34 ,-66.47 ,-69.16 ,-57.89 ,-57.94 ,-68.32 
5,10,-63.22 ,-59.09 ,-60.50 ,-59.95 ,-68.76 ,-58.93 ,-57.03 ,-67.54 
5,11,-70.85 ,-59.00 ,-60.46 ,-56.36 ,-68.31 ,-61.07 ,-59.38 ,-68.52 
5,12,-64.67 ,-56.86 ,-60.81 ,-63.59 ,-67.54 ,-59.16 ,-62.72 ,-68.43 
5,13,-68.74 ,-58.27 ,-61.32 ,-62.56 ,-69.50 ,-57.89 ,-62.61 ,-71.03 
5,14,-66.48 ,-55.10 ,-62.79 ,-66.23 ,-68.71 ,-58.42 ,-60.00 ,-73.12 
5,15,-66.73 ,-56.39 ,-64.28 ,-63.81 ,-70.33 ,-60.16 ,-61.60 ,-75.98 
6,15,-67.13 ,-49.74 ,-65.06 ,-66.39 ,-67.95 ,-60.51 ,-61.07 ,-72.43 
6,14,-65.46 ,-54.90 ,-62.89 ,-63.48 ,-65.75 ,-58.63 ,-61.17 ,-71.46 
6,13,-68.59 ,-55.17 ,-63.14 ,-65.41 ,-68.01 ,-58.69 ,-62.50 ,-67.48 
6,12,-69.38 ,-56.61 ,-63.49 ,-62.47 ,-68.93 ,-58.57 ,-62.08 ,-68.28 
6,11,-68.15 ,-57.24 ,-65.18 ,-61.71 ,-70.90 ,-60.37 ,-58.83 ,-67.17 
6,10,-65.24 ,-60.56 ,-63.13 ,-64.08 ,-71.05 ,-61.11 ,-56.49 ,-68.55 
6,9,-71.51 ,-63.35 ,-62.88 ,-68.48 ,-64.55 ,-58.97 ,-57.65 ,-71.24 
6,8,-67.65 ,-60.45 ,-61.77 ,-65.41 ,-63.36 ,-57.78 ,-55.12 ,-73.34 
6,7,-65.42 ,-64.20 ,-64.43 ,-68.46 ,-62.22 ,-60.73 ,-59.00 ,-68.67 
6,6,-67.68 ,-63.41 ,-63.97 ,-62.04 ,-63.78 ,-59.99 ,-58.96 ,-65.05 
