x,y,ble_rssi1,ble_rssi2,ble_rssi3,ble_rssi4,sle_rssi1,sle_rssi2,sle_rssi3,sle_rssi4
3.5,0.5,-51.46126384,-56.05279123,-52.60283338,-47.1493559,-55.47092786,-52.73961782,-48.6484,-47.60529956
3.5,1.0,-54.35103557,-56.06942577,-59.12136916,-49.63639778,-51.66803035,-54.7138944,-51.3511079,-48.96026752
3.5,1.5,-50.35988484,-48.82768649,-50.56095179,-54.51503496,-50.30925552,-51.4290206,-54.03908845,-51.46102976
3.5,2.0,-59.91303925,-55.50347855,-49.48138533,-50.53505652,-53.88063833,-50.01507735,-48.53721701,-50.29185923
3.5,2.5,-54.18720195,-43.86816749,-53.73362424,-58.55031994,-51.31165097,-43.01188964,-49.52392322,-53.39613168
3.5,3.0,-51.12901364,-48.07074895,-54.35552289,-66.4058646,-56.02080543,-47.89604407,-53.6614025,-57.00896192
3.5,3.5,-54.10434031,-46.69611277,-51.74573832,-56.39251023,-53.71278181,-44.3969899,-52.97657367,-55.32330179
3.5,4.0,-56.03124068,-42.26529381,-52.80999803,-55.29410558,-54.69035775,-43.36022373,-55.76569197,-56.1493513
3.5,4.5,-52.60123454,-44.57215171,-52.30064806,-57.35845295,-55.44611903,-48.21134897,-52.92859189,-56.08357549
4.0,0.5,-59.60120463,-51.40481811,-48.4328664,-45.3751169,-57.19041762,-54.04785943,-53.50196292,-45.80860845
4.0,1.0,-61.12983782,-50.53506286,-56.27684082,-49.43588952,-53.03177625,-47.81103964,-53.7453194,-52.92878468
4.0,1.5,-63.28878279,-51.92568371,-50.46999351,-47.82951188,-57.9478486,-48.52901043,-48.48518964,-47.14017828
4.0,2.0,-57.42449578,-45.94146849,-56.18392993,-47.13789768,-52.77956094,-45.74189591,-51.13722868,-47.77604384
4.0,2.5,-48.67208453,-53.7070181,-50.58185367,-54.64636576,-53.92389373,-46.17365129,-51.79925668,-54.37076158
4.0,3.0,-52.50532275,-47.20241367,-56.95348516,-51.05871271,-53.47383985,-45.94918355,-56.77668295,-53.33525282
4.0,3.5,-56.72550549,-42.85199354,-50.94931558,-49.17995483,-53.44367078,-44.94245255,-53.23803399,-50.72453109
4.0,4.0,-52.71531352,-46.00787624,-57.29466692,-50.63360112,-51.22486022,-46.56166055,-53.48015193,-51.21383265
4.0,4.5,-50.88286625,-43.14766081,-57.93750161,-51.8906609,-53.21571235,-44.80616599,-53.32599432,-53.85501286
4.5,1.0,-57.64311421,-46.92670294,-57.88971233,-42.52821712,-60.00179682,-47.29684248,-51.98516274,-48.37709521
4.5,1.5,-52.03157443,-48.9630377,-52.83057365,-46.45470755,-53.64095671,-48.44801442,-54.98980152,-47.65206785
4.5,2.0,-60.15728263,-48.17082615,-57.41567725,-47.76253423,-63.93468857,-45.62754321,-53.86020782,-47.57629638
4.5,3.0,-50.84809819,-46.76545716,-54.76455369,-49.65896592,-51.06592596,-47.82407829,-54.43145366,-46.36624424
4.5,3.5,-54.13734737,-44.16678406,-54.13412543,-52.38323292,-54.12962943,-43.82990062,-51.32216944,-51.75062451
4.5,4.0,-55.20087352,-41.38023883,-52.18702231,-54.50043166,-52.1547086,-44.84984475,-53.13904061,-48.97020573
