x,y,wifi_rssi1,wifi_rssi2,wifi_rssi3,wifi_rssi4,sle_rssi1,sle_rssi2,sle_rssi3,sle_rssi4,ble_rssi1,ble_rssi2,ble_rssi3,ble_rssi4
2.5,1.0,-57.18314748,-49.40473999,-47.22281055,-53.60060776,-54.64336659,-50.27447268,-48.48857324,-50.93312558,-52.74590319,-48.68881225,-47.13402139,-54.15700181
2.5,1.5,-57.51712002,-51.32217991,-56.52436167,-66.67608742,-52.19950379,-52.31365848,-49.97284528,-53.7868129,-54.94437533,-54.60108409,-54.26044618,-60.37308789
2.5,2.0,-51.33688832,-50.0151597,-60.88732402,-53.48200319,-51.67277189,-52.75685996,-51.98458479,-56.5075345,-53.15521534,-52.53704053,-51.59767523,-59.2149597
2.5,3.0,-65.25612987,-49.60312843,-52.49744285,-53.47592905,-56.30810308,-47.87028727,-52.24916804,-51.78047913,-56.96419285,-51.44298465,-50.18576949,-55.88079398
2.5,3.5,-57.63036175,-47.35378939,-57.31682176,-52.04763127,-50.29924789,-45.61069732,-54.55321916,-51.86938202,-50.34718909,-49.06299524,-50.56570802,-54.07035991
2.5,4.0,-60.5961244,-49.42935323,-62.32666387,-54.81159863,-56.34010092,-46.40472469,-54.13486581,-57.37503681,-57.60783064,-49.93531233,-54.96531174,-58.84563413
3.0,0.5,-57.22760842,-54.83370018,-60.71742772,-58.37042075,-56.29548825,-53.3735131,-55.2089523,-51.2858232,-59.51453904,-54.18613986,-53.44323165,-47.74337995
3.0,1.0,-65.97322984,-51.16655831,-54.15854412,-53.25404866,-52.09129146,-52.15300669,-48.4496596,-51.12297387,-53.98889638,-54.70035723,-47.52610211,-51.8153477
3.0,1.5,-62.58557188,-46.39768119,-51.73698839,-65.10807492,-51.40679525,-50.45956482,-51.16500845,-55.52396798,-52.39364133,-50.0635175,-54.17003396,-57.80200748
3.0,2.0,-55.30497402,-49.59278104,-55.40452302,-53.10966474,-51.82938685,-49.77242254,-48.56430404,-50.99133754,-55.94520111,-50.9352419,-52.67197392,-50.9447622
3.0,2.5,-65.10221866,-47.66278056,-53.94110359,-50.30180919,-51.68353117,-47.50701928,-49.84535767,-52.09718158,-55.56011188,-48.04998062,-52.59376288,-53.4954307
