error
5.876879
3.3485413
2.8722727
7.540283
14.807471
7.985223
3.5955782
13.241397
3.8240364
3.1861656
5.5656686
4.6282086
9.145235
2.1930664
9.585393
2.4531515
2.2786968
3.752223
2.555521
2.6266465
1.6381037
2.872511
2.5375936
3.287017
7.0851145
4.5010934
11.580801
4.0505986
2.208113
1.776786
5.871955
12.026893
1.9528389
1.6939402
3.2053
6.8112493
4.2566543
1.0555117
4.733218
6.496597
6.3616524
3.0762634
9.424612
2.9675024
6.172988
4.7780495
7.843542
3.7860308
3.9166353
1.957533
