3.190718767358756 , 1.2082030258990721 , 1.172748607748648 , 1.9302200826683833 , 0.276520532666761 , 0.08130452134969536 , 0.5984366811047441 , 0.31270381556472404 , 0.7829305814575291 , 2.4444140304947926 , 0.22349650611016167 , 2.2084114127684757 , 1.169546021891838 , 3.8510901137365114 , 0.4834946169937623 , 3.4756417357119243 , 0.4711044585010965 , 0.9685916723942035 , 0.4751600504031693 , 2.760189693383853 , 0.8571522370146568 , 1.5072404019480259 , 0.8525594954608589 , 3.570394925744953 , 0.22000123609221892 , 1.6735203394023628 , 0.34113687809958726 , 3.9857689167705113 , 1.2656732766366279 , 0.605338350422442 , 1.9929286727647464 , 0.9859925673666328 , 0.8624736582398982 , 2.680897761015932 , 3.442626895010217 , 1.32112643217711 , 3.1629542506154364 , 0.8739269045658868 , 2.57151488465492 , 1.4052569554679968 , 1.4088116915049085 , 4.776664343257089 , 0.6415002619512268 , 0.9334982388479636 , Average Error: 1.5915
Std: 1.2069
Test Variance: 1.4565
Test MSE: 3.9892
Test RMSE: 1.9973
Testing Duration (s): 0.1069
Training Duration (s): 3412.1149
